Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-12-31,320.242,0.0,0.0,26.741,64.03,411.013,131.653,0.0,0.0,121.11,268.721,679.734,227.436,236.572,16.583,253.155,480.591,0.053,198.817,0.273,0.0,199.143,679.734
2010-12-31,350.387,0.0,0.0,62.217,224.627,637.231,128.57,0.0,0.0,216.266,344.836,982.067,388.579,200.0,103.324,303.324,691.903,0.053,237.739,0.75,0.0,290.164,982.067
2011-12-31,797.811,0.0,0.0,56.007,977.039,1830.857,136.353,0.0,0.0,1101.986,1238.339,3069.196,1225.055,400.0,801.331,1201.331,2426.386,0.055,422.93,0.706,0.0,642.81,3069.196
2012-12-31,748.078,0.0,0.0,0.0,1492.713,2240.791,131.681,0.0,0.0,1595.418,1727.099,3967.89,1675.926,400.0,1147.291,1547.291,3223.217,0.056,440.082,2.919,0.0,744.673,3967.89
2013-12-31,1200.405,0.0,0.0,0.0,1858.358,3058.763,133.605,0.0,0.0,2220.195,2353.8,5412.563,2154.203,500.0,1424.799,1924.799,4079.002,0.06,552.485,3.575,0.0,1333.561,5412.563
2014-12-31,1608.496,0.0,0.0,0.0,2318.557,3927.053,149.875,0.0,0.0,2965.572,3115.447,7042.5,2663.154,885.849,1635.789,2521.638,5184.792,1042.87,819.284,-4.446,0.0,1857.708,7042.5
2015-12-31,2310.715,0.0,0.0,0.0,3121.125,5431.84,173.412,0.0,0.0,4597.619,4771.031,10202.87,3529.624,2371.362,2078.459,4449.821,7979.445,1324.809,941.925,-43.308,0.0,2223.426,10202.87
2016-12-31,1733.782,0.0,0.0,0.0,3986.509,5720.291,250.395,0.0,0.0,7615.924,7866.319,13586.61,4586.657,3364.311,2955.842,6320.153,10906.81,1599.762,1128.603,-48.565,0.0,2679.8,13586.61
2017-12-31,2822.795,0.0,0.0,0.0,4847.179,7669.974,319.404,0.0,0.0,11023.36,11342.77,19012.74,5466.312,6499.432,3465.042,9964.475,15430.79,1871.396,1731.117,-20.557,0.0,3581.956,19012.74
2018-12-31,3794.483,0.0,0.0,0.0,5899.652,9694.135,418.281,0.0,0.0,15861.98,16280.27,25974.4,6487.32,10360.06,3888.257,14248.31,20735.63,2315.988,2942.359,-19.582,0.0,5238.765,25974.4
2019-12-31,5018.437,0.0,0.0,0.0,1160.067,6178.504,565.221,0.0,0.0,27231.99,27797.21,33975.71,6855.696,14759.26,4778.599,19537.86,26393.55,2793.929,4811.749,-23.521,0.0,7582.157,33975.71
2020-12-31,8205.55,0.0,0.0,0.0,1556.03,9761.58,960.183,0.0,0.0,28558.6,29518.78,39280.36,7805.785,15809.09,4600.239,20409.33,28215.12,3447.698,7573.144,44.398,0.0,11065.24,39280.36
2021-12-31,6027.804,0.0,0.0,0.0,2042.021,8069.825,1323.453,0.0,0.0,35191.39,36514.84,44584.66,8488.966,14693.07,5553.377,20246.45,28735.41,4024.561,12689.37,-40.495,0.0,15849.25,44584.66
