Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-09-30,1.3308,0.245,0.3585,15.7598,14.3987,14.3987,18.9106,15.6519,9.1482,0.5727,23.9591,7.4473,49.0113,10.1877,31.3963,5.718,7.6918,19.4825,2.8368,1.9019
2010-09-30,1.1114,0.2048,0.3172,17.6707,16.9614,16.9614,21.4618,17.4106,10.4117,0.55,21.7316,6.5807,55.4649,10.9628,42.4466,6.2321,8.7181,20.7402,0.54,0.3917
2011-09-30,1.1381,0.2168,0.3543,19.0277,18.8932,18.8932,23.3952,19.6684,11.7551,0.567,20.7599,6.6149,55.1789,13.3273,51.6148,7.2902,10.4377,21.9183,0.2869,-0.4942
2012-09-30,1.0699,0.2032,0.3411,44.4912,20.7271,20.7271,25.4269,21.9027,13.4396,0.5645,15.2687,6.4645,56.462,14.7123,52.1677,8.2419,11.7235,23.31,0.718,0.5009
2013-09-30,1.2055,0.2097,0.2967,44.4195,20.5058,20.5058,25.3724,21.3583,13.6231,0.5544,16.8352,6.4649,56.4587,13.7819,49.3163,8.1683,10.8919,26.75,0.8318,1.371
2014-09-30,1.1412,0.2077,0.3071,45.8751,23.3544,23.3544,28.0417,25.0876,15.3668,0.5801,16.7853,6.2405,58.4891,16.6134,62.225,9.5126,13.1625,28.34,0.3465,0.0064
2015-09-30,1.026,0.2079,0.3563,45.9373,25.1044,25.1044,29.5912,26.4329,15.9764,0.595,18.0547,6.5426,55.7883,18.1934,64.8166,10.0383,14.4104,30.4094,1.1018,0.4885
2016-09-30,1.0074,0.2583,0.4262,46.0868,25.5285,25.5285,30.0708,26.7256,16.8806,0.6045,21.5777,6.137,59.4752,20.6876,77.921,10.6375,15.3434,29.5769,1.3528,0.9363
2017-09-30,0.8109,0.2982,0.562,45.0351,24.9832,24.9832,30.0288,25.0068,16.2867,0.5756,22.0728,6.3868,57.1494,20.8115,142.2756,9.7777,14.6063,30.0027,-0.1927,0.4235
2018-09-30,0.942,0.2444,0.3951,44.9372,24.9083,24.9083,29.9744,24.7821,21.1966,0.6028,23.5101,6.3675,57.3226,24.7312,88.577,13.2518,18.6881,35.2213,1.6638,0.9969
2019-09-30,0.8974,0.2888,0.5004,39.5736,15.2959,15.2959,21.2823,20.0023,15.8806,0.3588,25.507,4.4963,81.1781,11.6063,-113.2862,5.6175,8.2542,52.717,-5.8939,-5.8578
2020-09-30,1.3238,0.3748,0.6642,32.8929,-2.9684,-2.9684,12.7806,-2.6656,-4.38,0.3244,27.7195,5.1454,70.9369,-2.7667,28.3987,-1.2116,-1.7297,49.5581,0.6206,1.3227
2021-09-30,1.083,0.3429,0.5849,33.0579,4.4573,4.4573,12.0383,3.7987,2.9592,0.3311,33.9076,5.0436,72.3687,2.7266,-116.5977,1.2455,1.7916,52.224,-1.1675,-0.9003
