Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-06-30,1.8229,0.0865,0.1453,79.1998,34.8461,34.8461,39.2303,33.9186,24.9311,0.7503,16.9526,5.2213,69.9057,36.8295,57.5941,18.7051,33.6435,4.4407,2.1162,1.7695
2010-06-30,2.1293,0.0966,0.1286,80.1629,38.5667,38.5667,42.8446,40.0311,30.0237,0.7256,16.75,4.8013,76.0212,40.628,57.5054,21.7853,36.7023,5.3271,0.5805,0.7057
2011-06-30,2.6037,0.1728,0.2088,77.729,38.8331,38.8331,42.7877,40.1341,33.0984,0.6434,11.3535,4.6669,78.2102,40.555,52.9046,21.2964,33.5488,6.8151,0.4447,0.3921
2012-06-30,2.6029,0.139,0.18,76.2218,29.52,29.52,41.9449,30.2036,23.0295,0.6079,15.4178,4.6719,78.1262,25.5835,34.1328,14.0001,22.0276,7.9183,0.5767,0.5798
2013-06-30,2.7118,0.1376,0.1976,73.8147,34.3794,34.3794,39.2028,34.7493,28.0839,0.5466,10.5186,4.4521,81.9842,27.6943,35.7204,15.3499,23.8822,9.4793,-0.314,-0.5456
2014-06-30,2.504,0.187,0.2522,68.816,31.9683,31.9683,37.9706,32.0385,25.4212,0.5037,10.1797,4.4429,82.1526,24.5857,35.2192,12.8051,19.9893,10.8974,0.4656,0.3152
2015-06-30,2.4734,0.2577,0.4407,64.6955,19.4069,19.4069,33.785,19.7767,13.0295,0.5364,11.3846,5.2256,69.8485,15.2255,20.911,6.9885,11.3012,9.9767,-0.2753,-0.3425
2016-06-30,2.3529,0.3603,0.7425,64.0389,28.6087,28.6087,36.5645,28.1271,22.5322,0.4712,14.5624,4.9874,73.185,28.5276,40.7585,10.6162,18.2481,9.2209,0.5645,0.2435
2017-06-30,2.9186,0.4645,0.9827,64.5225,30.0556,30.0556,39.1453,30.9627,26.3941,0.3858,15.7089,4.3052,84.7803,29.0602,59.9981,10.1829,15.5626,11.3792,0.8854,0.8887
2018-06-30,2.9008,0.4662,0.9217,65.2474,31.7669,31.7669,41.0647,33.05,15.0154,0.4264,14.4076,4.1675,87.5822,20.0331,42.5094,6.4018,10.6937,10.7748,0.5862,0.1317
2019-06-30,2.5288,0.3945,0.7053,65.902,34.137,34.137,43.42,34.7163,31.1817,0.4392,20.7998,4.2624,85.6326,38.3465,74.6661,13.6937,23.22,13.3887,1.1004,0.7968
2020-06-30,2.5158,0.3349,0.5353,67.781,37.0304,37.0304,45.9777,37.0842,30.9625,0.4746,24.3156,4.4677,81.6978,37.4298,65.2006,14.6961,24.8935,15.6259,1.1664,0.9526
2021-06-30,2.08,0.2607,0.4095,68.9258,41.5949,41.5949,48.5472,42.3005,36.4517,0.5036,19.8149,4.4184,82.6097,43.1522,72.5298,18.3568,31.9017,18.8839,2.1895,1.4887
