Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-09-30,1.2877,0.1523,0.1797,55.7537,5.7496,5.7496,11.5125,5.7281,3.9981,1.7527,6.5046,36.0686,10.1196,12.8071,14.3428,7.0202,10.8563,2.0574,0.9311,0.6609
2010-09-30,1.5493,0.1298,0.1492,58.7528,13.2563,13.2563,18.307,13.4206,8.8313,1.6767,8.129,35.373,10.3186,25.7529,28.3151,14.8499,22.4094,2.4793,0.1844,0.1662
2011-09-30,1.8282,0.1113,0.1252,57.9886,14.773,14.773,19.4737,15.479,10.6466,1.5896,5.0896,30.2727,12.0571,28.4457,30.6958,16.9556,25.2795,2.9453,-0.0681,-0.0489
2012-09-30,1.9004,0.097,0.1075,56.2146,15.0443,15.0443,19.4173,15.509,10.4227,1.6153,4.6825,27.3241,13.3582,27.074,30.2885,16.8471,24.447,3.4129,0.0847,-0.1999
2013-09-30,1.0175,0.2247,0.2899,57.0701,-2.1888,-2.1888,2.2211,-1.5464,0.0558,1.2909,5.7436,26.4817,13.7831,0.1963,0.2631,0.0764,0.1522,2.9755,0.7756,0.5743
2014-09-30,1.3719,0.2797,0.3884,58.2996,18.7326,18.7326,23.2828,19.2105,12.5737,1.5296,6.2873,26.0663,14.0028,39.2078,49.8962,19.2292,28.2396,3.5179,-1.5095,-1.515
2015-09-30,1.0885,0.2874,0.4034,59.3612,18.7917,18.7917,23.6647,20.3677,14.3894,1.5434,5.961,26.6519,13.6951,47.4123,74.0951,22.2232,33.7847,3.9188,2.0791,1.9841
2016-09-30,1.0464,0.351,0.6086,60.0814,19.5718,19.5718,24.4043,19.697,13.2188,1.4893,6.1727,27.7262,13.1644,47.8534,77.1287,19.6954,31.0588,4.0333,0.6827,0.5695
2017-09-30,1.2518,0.4188,0.7207,68.4376,18.4694,18.4694,23.236,19.2859,12.8857,1.5584,5.1802,25.7201,14.1912,52.866,82.9853,20.082,30.7244,3.8118,-0.2508,-0.3216
2018-09-30,2.1981,0.8855,8.0287,67.9172,15.7095,15.7095,20.9923,23.3824,18.2783,1.0233,5.6628,35.6651,10.2341,384.249,-132.5705,18.7031,44.0094,0.8982,5.6508,5.2732
2019-09-30,0.9165,2.2624,-1.7922,67.8335,15.3833,15.3833,20.8506,16.8481,13.5775,1.3792,5.5753,30.1508,12.1058,-57.689,-34.2226,18.7028,72.8242,-5.26,-4.4674,-4.5152
2020-09-30,1.0626,2.1369,-2.0961,67.2808,6.6404,6.6404,13.0321,4.9511,3.9472,0.8006,4.96,26.6221,13.7104,-11.856,-7.7389,3.148,13.4792,-6.6474,-2.7406,-2.531
2021-09-30,1.1969,1.6401,-2.7502,69.9294,16.7653,16.7653,22.0099,18.4336,14.4502,0.9257,5.4484,30.9155,11.8064,-79.0347,-44.9629,13.3799,50.5914,-4.5038,3.7,3.7154
