Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-09-30,36149.0,30452.0,5697.0,0.0,0.0,0.0,30944.0,5205.0,453.0,5658.0,2049.0,3609.0,0.0,3609.0,0.0,3307.0,6836.0,5205.0,1856.0,1875.0,1.78,1.76
2010-09-30,38063.0,31337.0,6726.0,0.0,0.0,0.0,31607.0,6456.0,171.0,6627.0,2314.0,4313.0,0.0,4313.0,0.0,3963.0,8169.0,6456.0,1915.0,1948.0,2.07,2.03
2011-09-30,40893.0,33112.0,7781.0,0.0,0.0,0.0,33167.0,7726.0,317.0,8043.0,2785.0,5258.0,0.0,5258.0,0.0,4807.0,9567.0,7726.0,1878.0,1909.0,2.56,2.52
2012-09-30,42278.0,23468.0,18810.0,0.0,7960.0,0.0,33515.0,8763.0,497.0,9260.0,3087.0,6173.0,0.0,6173.0,0.0,5682.0,10750.0,8763.0,1794.0,1818.0,3.17,3.13
2013-09-30,45041.0,25034.0,20007.0,0.0,8365.0,0.0,35805.0,9236.0,384.0,9620.0,2984.0,6636.0,0.0,6636.0,0.0,6136.0,11428.0,9236.0,1792.0,1813.0,3.42,3.38
2014-09-30,48813.0,26420.0,22393.0,0.0,8565.0,0.0,37413.0,11400.0,846.0,12246.0,4242.0,8004.0,0.0,8004.0,0.0,7501.0,13688.0,11400.0,1740.0,1759.0,4.31,4.26
2015-09-30,52465.0,28364.0,24101.0,0.0,8523.0,0.0,39294.0,13171.0,697.0,13868.0,5016.0,8852.0,0.0,8852.0,0.0,8382.0,15525.0,13171.0,1694.0,1709.0,4.95,4.9
2016-09-30,55632.0,29993.0,25639.0,0.0,8754.0,0.0,41430.0,14202.0,666.0,14868.0,5078.0,9790.0,0.0,9790.0,0.0,9391.0,16729.0,14202.0,1629.0,1639.0,5.76,5.73
2017-09-30,55137.0,30306.0,24831.0,0.0,8176.0,0.0,41362.0,13775.0,13.0,13788.0,4422.0,9366.0,0.0,9366.0,0.0,8980.0,16557.0,13775.0,1568.0,1578.0,5.73,5.69
2018-09-30,59434.0,32726.0,26708.0,0.0,8860.0,0.0,44630.0,14804.0,-75.0,14729.0,1663.0,13066.0,0.0,13066.0,0.0,12598.0,17815.0,14804.0,1499.0,1507.0,8.4,8.36
2019-09-30,69607.0,42061.0,27546.0,0.0,11549.0,0.0,58960.0,10647.0,3276.0,13923.0,3026.0,10897.0,0.0,10897.0,687.0,11054.0,14814.0,10647.0,1656.0,1666.0,6.68,6.64
2020-09-30,65388.0,43880.0,21508.0,0.0,12369.0,0.0,67329.0,-1941.0,198.0,-1743.0,699.0,-2442.0,0.0,-2442.0,-32.0,-2864.0,8357.0,-1941.0,1808.0,1808.0,-1.58,-1.58
2021-09-30,67418.0,45131.0,22287.0,0.0,13517.0,0.0,64413.0,3005.0,-444.0,2561.0,25.0,2536.0,0.0,2536.0,-29.0,1995.0,8116.0,3005.0,1816.0,1828.0,1.1,1.09
