Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-06-30,58437.0,12155.0,46282.0,9010.0,16909.0,0.0,38074.0,20363.0,-542.0,19821.0,5252.0,14569.0,0.0,14569.0,0.0,14569.0,22925.0,20363.0,8945.0,8996.0,1.63,1.62
2010-06-30,62484.0,12395.0,50089.0,8714.0,17277.0,0.0,38386.0,24098.0,915.0,25013.0,6253.0,18760.0,0.0,18760.0,0.0,18760.0,26771.0,24098.0,8813.0,8927.0,2.13,2.1
2011-06-30,69943.0,15577.0,54366.0,9043.0,18162.0,0.0,42782.0,27161.0,910.0,28071.0,4921.0,23150.0,0.0,23150.0,0.0,23150.0,29927.0,27161.0,8490.0,8593.0,2.73,2.69
2012-06-30,73723.0,17530.0,56193.0,9811.0,18426.0,0.0,51960.0,21763.0,504.0,22267.0,5289.0,16978.0,0.0,16978.0,0.0,16978.0,30923.0,21763.0,8396.0,8506.0,2.02,2.0
2013-06-30,77849.0,20385.0,57464.0,10411.0,20289.0,0.0,51085.0,26764.0,288.0,27052.0,5189.0,21863.0,0.0,21863.0,0.0,21863.0,30519.0,26764.0,8375.0,8470.0,2.61,2.58
2014-06-30,86833.0,27078.0,59755.0,11381.0,20488.0,0.0,59074.0,27759.0,61.0,27820.0,5746.0,22074.0,0.0,22074.0,0.0,22074.0,32971.0,27759.0,8299.0,8399.0,2.66,2.63
2015-06-30,93580.0,33038.0,60542.0,12046.0,20324.0,0.0,75419.0,18161.0,346.0,18507.0,6314.0,12193.0,0.0,12193.0,0.0,12193.0,31616.0,18161.0,8177.0,8254.0,1.49,1.48
2016-06-30,91154.0,32780.0,58374.0,11988.0,19198.0,0.0,65076.0,26078.0,-439.0,25639.0,5100.0,20539.0,0.0,20539.0,0.0,20539.0,33330.0,26078.0,7925.0,8013.0,2.59,2.56
2017-06-30,96571.0,34261.0,62310.0,13037.0,19942.0,0.0,67546.0,29025.0,876.0,29901.0,4412.0,25489.0,0.0,25489.0,0.0,25489.0,37803.0,29025.0,7746.0,7832.0,3.29,3.25
2018-06-30,110360.0,38353.0,72007.0,14726.0,22223.0,0.0,75302.0,35058.0,1416.0,36474.0,19903.0,16571.0,0.0,16571.0,0.0,16571.0,45319.0,35058.0,7700.0,7794.0,2.15,2.13
2019-06-30,125843.0,42910.0,82933.0,16876.0,23098.0,0.0,82884.0,42959.0,729.0,43688.0,4448.0,39240.0,0.0,39240.0,0.0,39240.0,54641.0,42959.0,7673.0,7753.0,5.11,5.06
2020-06-30,143015.0,46078.0,96937.0,19269.0,24709.0,0.0,90056.0,52959.0,77.0,53036.0,8755.0,44281.0,0.0,44281.0,0.0,44281.0,65755.0,52959.0,7610.0,7683.0,5.82,5.76
2021-06-30,168088.0,52232.0,115856.0,20716.0,25224.0,0.0,98172.0,69916.0,1186.0,71102.0,9831.0,61271.0,0.0,61271.0,0.0,61271.0,81602.0,69916.0,7547.0,7608.0,8.12,8.05
