Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-12-31,1670.269,1079.271,590.998,114.542,284.517,0.0,1478.33,191.9391,0.253,192.192,76.332,115.86,0.0,115.86,0.0,115.86,449.4731,191.9391,395.92,408.912,0.2929,0.2829
2010-12-31,2162.625,1357.355,805.27,163.329,358.3,0.0,1878.984,283.6411,-15.945,267.696,106.843,160.853,0.0,160.853,0.0,160.853,622.3361,283.6411,367.703,380.128,0.4371,0.4229
2011-12-31,3204.577,2039.901,1164.676,259.033,529.575,0.0,2828.509,376.0679,-16.546,359.522,133.396,226.126,0.0,226.126,0.0,226.126,1215.687,376.0679,369.929,380.583,0.6114,0.5943
2012-12-31,3609.282,2652.058,957.2239,329.008,578.224,0.0,3559.29,49.9919,-19.512,30.48,13.328,17.152,0.0,17.152,0.0,17.152,1752.075,49.9919,388.647,412.328,0.0443,0.0414
2013-12-31,4374.562,3117.203,1257.359,378.769,650.243,0.0,4146.215,228.3472,-57.273,171.074,58.671,112.403,0.0,112.403,0.0,112.403,2470.027,228.3472,407.385,425.327,0.28,0.26
2014-12-31,5504.656,3752.76,1751.896,472.321,876.927,0.0,5102.008,402.6479,-53.279,349.369,82.57,266.799,0.0,266.799,0.0,266.799,3184.446,402.6479,420.544,431.894,0.63,0.62
2015-12-31,6779.511,4591.476,2188.035,650.788,1231.421,0.0,6473.685,305.8262,-163.941,141.885,19.244,122.641,0.0,122.641,0.0,122.641,3852.871,305.8262,425.889,436.456,0.29,0.28
2016-12-31,8830.669,6257.462,2573.207,780.232,1413.182,0.0,8450.876,379.793,-119.286,260.507,73.829,186.678,0.0,186.678,0.0,186.678,5304.771,379.793,428.822,438.652,0.44,0.43
2017-12-31,11692.71,8033.0,3659.713,953.71,1867.324,0.0,10854.03,838.6787,-353.358,485.321,-73.608,558.929,0.0,558.929,0.0,558.929,7108.407,838.6787,431.885,446.814,1.29,1.25
2018-12-31,15794.34,9967.538,5826.803,1221.814,2999.763,0.0,14189.11,1605.227,-378.768,1226.458,15.216,1211.242,0.0,1211.242,0.0,1211.242,9220.472,1605.227,435.374,451.244,2.78,2.68
2019-12-31,20156.45,12440.21,7716.234,1545.149,3566.831,0.0,17552.19,2604.254,-542.023,2062.231,195.315,1866.916,0.0,1866.916,0.0,1866.916,11924.08,2604.254,437.799,451.765,4.26,4.13
2020-12-31,24996.06,15276.32,9719.737,1829.6,3304.848,0.0,20410.77,4585.289,-1385.94,3199.349,437.954,2761.395,0.0,2761.395,0.0,2761.395,15507.91,4585.289,440.922,454.208,6.26,6.08
2021-12-31,29697.84,17332.68,12365.16,2273.885,3896.767,0.0,23503.34,6194.508,-354.406,5840.103,723.875,5116.228,0.0,5116.228,0.0,5116.228,18633.29,6194.508,443.155,455.372,11.55,11.24
