Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-12-31,111.943,102.408,9.535,19.282,42.15,0.0,163.84,-51.897,-3.817,-55.714,0.026,-55.74,0.0,-55.74,0.0,-55.74,-44.957,-51.897,35.11,35.11,-1.588,-1.588
2010-12-31,116.744,86.013,30.731,92.996,84.573,0.0,263.582,-146.838,-7.317,-154.155,0.173,-154.328,0.0,-154.328,0.0,-154.328,-136.215,-146.838,253.59,253.59,-0.608,-0.608
2011-12-31,204.242,142.647,61.595,208.981,104.102,0.0,455.73,-251.488,-2.434,-253.922,0.489,-254.411,0.0,-254.411,0.0,-254.411,-234.569,-251.488,501.945,501.945,-0.506,-0.506
2012-12-31,413.256,383.189,30.067,273.978,150.372,0.0,807.539,-394.283,-1.794,-396.077,0.136,-396.213,0.0,-396.213,0.0,-396.213,-365.458,-394.283,536.745,536.745,-0.738,-0.738
2013-12-31,2013.496,1557.234,456.262,231.976,285.569,0.0,2074.779,-61.2831,-10.143,-71.426,2.588,-74.014,0.0,-74.014,0.0,-74.014,59.5009,-61.2831,597.105,597.105,-0.124,-0.124
2014-12-31,3198.356,2316.685,881.6711,464.7,603.66,0.0,3385.045,-186.6887,-97.947,-284.636,9.404,-294.04,0.0,-294.04,0.0,-294.04,114.9763,-186.6887,622.695,622.695,-0.472,-0.472
2015-12-31,4046.025,3122.522,923.5027,717.9,922.232,0.0,4762.654,-716.6294,-158.995,-875.624,13.039,-888.663,0.0,-888.663,0.0,-888.663,-215.9854,-716.6294,641.01,641.01,-1.386,-1.386
2016-12-31,7000.132,5400.875,1599.257,834.408,1432.189,0.0,7667.472,-667.3403,-79.008,-746.348,26.698,-773.046,0.0,-773.046,0.0,-674.914,374.4487,-667.3403,721.0601,721.0601,-0.936,-0.936
2017-12-31,11759.0,9536.0,2223.0,1378.0,2477.0,0.0,13391.0,-1632.0,-577.0,-2209.0,32.0,-2241.0,0.0,-2241.0,0.0,-1962.0,95.0,-1632.0,830.0,830.0,-2.366,-2.366
2018-12-31,21461.0,17419.0,4042.0,1460.0,2835.0,0.0,21849.0,-388.0,-617.0,-1005.0,58.0,-1063.0,0.0,-1063.0,0.0,-976.0,1672.0,-388.0,853.0,853.0,-1.14,-1.14
2019-12-31,24578.0,20509.0,4069.0,1343.0,2646.0,0.0,24647.0,-69.0,-596.0,-665.0,110.0,-775.0,0.0,-775.0,0.0,-862.0,2085.0,-69.0,887.0,887.0,-0.98,-0.98
2020-12-31,31536.0,24906.0,6630.0,1491.0,3145.0,0.0,29542.0,1994.0,-840.0,1154.0,292.0,862.0,0.0,862.0,0.0,721.0,4316.0,1994.0,933.0,1083.0,0.74,0.64
2021-12-31,53823.0,40217.0,13606.0,2593.0,4517.0,0.0,47300.0,6523.0,-180.0,6343.0,699.0,5644.0,0.0,5644.0,0.0,5519.0,9434.0,6523.0,986.0,1129.0,5.6,4.9
