Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,2730.0,587.0,1266.0,0.0,0.0,4775.0,889.0,0.0,433.0,765.0,2205.0,6980.0,3410.0,74.0,578.0,652.0,4062.0,4.0,-553.0,-143.0,0.0,2918.0,6980.0
2009-06-30,3212.0,584.0,1325.0,0.0,0.0,5304.0,981.0,0.0,451.0,821.0,2371.0,7675.0,3636.0,109.0,674.0,783.0,4419.0,4.0,-411.0,-58.0,0.0,3256.0,7675.0
2009-09-30,4001.0,671.0,1617.0,0.0,0.0,6369.0,1086.0,0.0,457.0,854.0,2603.0,8972.0,4537.0,116.0,734.0,850.0,5387.0,4.0,-212.0,-35.0,0.0,3585.0,8972.0
2009-12-31,6366.0,988.0,2171.0,0.0,0.0,9797.0,1290.0,0.0,1234.0,1474.0,4016.0,13813.0,7364.0,0.0,1192.0,1192.0,8556.0,5.0,172.0,-56.0,0.0,5257.0,13813.0
2010-03-31,5063.0,815.0,1820.0,0.0,0.0,7964.0,1436.0,0.0,1234.0,1392.0,4078.0,12042.0,5193.0,131.0,1100.0,1231.0,6424.0,5.0,471.0,-145.0,0.0,5618.0,12042.0
2010-06-30,5108.0,805.0,1940.0,0.0,0.0,8118.0,1704.0,0.0,1229.0,1317.0,4279.0,12397.0,5250.0,132.0,1158.0,1290.0,6540.0,5.0,678.0,-282.0,0.0,5857.0,12397.0
2010-09-30,5885.0,959.0,2515.0,0.0,0.0,9559.0,2099.0,0.0,1277.0,1184.0,4603.0,14162.0,6375.0,164.0,1226.0,1390.0,7765.0,5.0,908.0,-131.0,0.0,6397.0,14162.0
2010-12-31,8762.0,1587.0,3202.0,0.0,0.0,13747.0,2414.0,0.0,1349.0,1265.0,5050.0,18797.0,10372.0,1561.0,0.0,1561.0,11933.0,5.0,1324.0,-190.0,0.0,6864.0,18797.0
2011-03-31,6881.0,1304.0,2888.0,0.0,0.0,11288.0,2902.0,0.0,1513.0,1151.0,5594.0,16882.0,7730.0,1805.0,0.0,1805.0,9535.0,5.0,1525.0,-66.0,0.0,7347.0,16882.0
2011-06-30,6355.0,1438.0,3229.0,0.0,0.0,11279.0,3470.0,0.0,1909.0,1253.0,6662.0,17941.0,8045.0,2131.0,0.0,2131.0,10176.0,5.0,1715.0,-30.0,0.0,7765.0,17941.0
