Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,3369.0,4939.0,1233.0,0.0,669.0,11977.0,14795.0,1564.0,24652.0,1998.0,51055.0,63032.0,10186.0,12541.0,3646.0,19574.0,29760.0,26693.0,29191.0,47.0,0.0,33272.0,63032.0
2009-06-30,3128.0,4944.0,1229.0,0.0,608.0,11499.0,14833.0,1668.0,24671.0,2153.0,51085.0,62584.0,8606.0,12552.0,3392.0,19682.0,28288.0,26840.0,30137.0,-22.0,0.0,34296.0,62584.0
2009-09-30,3417.0,4854.0,1271.0,0.0,576.0,11889.0,15080.0,2554.0,23930.0,2022.0,51228.0,63117.0,8934.0,11495.0,5444.0,18758.0,27692.0,27038.0,31033.0,-1644.0,0.0,35425.0,63117.0
2009-12-31,3204.0,5972.0,1196.0,0.0,566.0,12945.0,14844.0,2578.0,29165.0,1946.0,56369.0,69314.0,11667.0,11189.0,5542.0,19689.0,31356.0,27571.0,31225.0,-1597.0,0.0,37958.0,69314.0
2010-03-31,3075.0,5478.0,1225.0,0.0,596.0,12487.0,14512.0,2607.0,28782.0,2360.0,56273.0,68760.0,10052.0,11000.0,5654.0,19739.0,29791.0,28100.0,32173.0,-1559.0,0.0,38969.0,68760.0
2010-06-30,2951.0,5744.0,1322.0,0.0,691.0,12601.0,14228.0,2587.0,28774.0,2364.0,55704.0,68305.0,9489.0,10804.0,5165.0,19215.0,28704.0,28542.0,33493.0,-1593.0,0.0,39601.0,68305.0
2010-09-30,2722.0,5784.0,1442.0,0.0,581.0,12225.0,14502.0,2513.0,29181.0,2708.0,56981.0,69206.0,11000.0,10130.0,6104.0,18864.0,29864.0,28736.0,34327.0,-1881.0,0.0,39342.0,69206.0
2010-12-31,3039.0,7028.0,1416.0,0.0,626.0,13994.0,14365.0,2491.0,29314.0,2029.0,56956.0,70950.0,12747.0,9933.0,5954.0,18464.0,31211.0,29271.0,34873.0,-1887.0,0.0,39739.0,70950.0
2011-03-31,3094.0,6075.0,1453.0,0.0,669.0,13220.0,15676.0,2499.0,29266.0,2096.0,57368.0,70588.0,12803.0,8688.0,5944.0,17473.0,30276.0,29938.0,35814.0,-1837.0,0.0,40312.0,70588.0
2011-06-30,3519.0,6212.0,1542.0,0.0,626.0,13643.0,15631.0,2505.0,29230.0,2208.0,57462.0,71105.0,12766.0,9176.0,5336.0,17417.0,30183.0,30159.0,37288.0,-1809.0,0.0,40922.0,71105.0
2011-09-30,3185.0,6182.0,1595.0,0.0,634.0,13757.0,15943.0,2435.0,29266.0,2614.0,58367.0,72124.0,12088.0,10922.0,6795.0,20583.0,32671.0,30296.0,38375.0,-2630.0,0.0,39453.0,72124.0
2011-12-31,3766.0,6787.0,1523.0,0.0,615.0,15060.0,15701.0,2685.0,29233.0,2620.0,58817.0,73877.0,13524.0,11226.0,6825.0,20930.0,34454.0,30525.0,38762.0,-2574.0,0.0,39423.0,73877.0
2012-03-31,3731.0,6283.0,1503.0,0.0,588.0,14537.0,16749.0,2484.0,30255.0,2520.0,60696.0,75233.0,12724.0,12582.0,6809.0,22597.0,35321.0,30948.0,39907.0,-2481.0,0.0,39912.0,75233.0
2012-06-30,4374.0,5951.0,1485.0,0.0,741.0,14754.0,17370.0,2397.0,30113.0,2687.0,60537.0,75291.0,11117.0,12454.0,6497.0,22101.0,33218.0,31427.0,41720.0,-2443.0,0.0,42073.0,75291.0
2012-09-30,3387.0,6540.0,1537.0,0.0,804.0,13709.0,17895.0,2723.0,30125.0,2288.0,61189.0,74898.0,12813.0,10697.0,7179.0,20127.0,32940.0,31731.0,42965.0,-3266.0,0.0,41958.0,74898.0
