Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,25340.0,9182.0,657.0,0.0,3619.0,40724.0,7112.0,4112.0,14310.0,1639.0,28129.0,68853.0,23823.0,0.0,6699.0,8087.0,31910.0,61896.0,-24953.0,0.0,0.0,36943.0,68853.0
2009-06-30,31447.0,11192.0,717.0,0.0,3711.0,49280.0,7535.0,4933.0,14262.0,1599.0,28608.0,77888.0,27034.0,3746.0,6269.0,11296.0,38330.0,62382.0,-22824.0,0.0,0.0,39558.0,77888.0
2009-09-30,36728.0,8587.0,1150.0,0.0,3325.0,52231.0,7512.0,6006.0,14235.0,1628.0,29381.0,81612.0,28761.0,3746.0,6537.0,11639.0,40400.0,62293.0,-21081.0,0.0,0.0,41212.0,81612.0
2009-12-31,36099.0,11196.0,589.0,0.0,2547.0,52487.0,7402.0,6976.0,13714.0,1517.0,29609.0,82096.0,25715.0,3746.0,6808.0,12098.0,37813.0,62566.0,-18283.0,0.0,0.0,44283.0,82096.0
2010-03-31,39666.0,9137.0,501.0,0.0,2992.0,54518.0,7372.0,7797.0,13745.0,1478.0,30392.0,84910.0,26424.0,3746.0,7113.0,12776.0,39200.0,62517.0,-16807.0,0.0,0.0,45710.0,84910.0
2010-06-30,36788.0,13014.0,740.0,0.0,2950.0,55676.0,7630.0,7754.0,13552.0,1501.0,30437.0,86113.0,26147.0,4939.0,7445.0,13791.0,39938.0,62856.0,-16681.0,0.0,0.0,46175.0,86113.0
2010-09-30,44173.0,9646.0,1242.0,0.0,2176.0,59581.0,7771.0,9211.0,13548.0,1429.0,31959.0,91540.0,25857.0,9665.0,7384.0,18741.0,44598.0,61935.0,-14993.0,0.0,0.0,46942.0,91540.0
2010-12-31,41252.0,12874.0,861.0,0.0,2149.0,59684.0,7799.0,10022.0,13494.0,1307.0,32622.0,92306.0,24312.0,9671.0,7662.0,19513.0,43825.0,61646.0,-13165.0,0.0,0.0,48481.0,92306.0
2011-03-31,50150.0,10033.0,1056.0,0.0,2438.0,66263.0,7969.0,10748.0,13394.0,1353.0,33464.0,99727.0,24042.0,11915.0,8001.0,22233.0,46275.0,63234.0,-9782.0,0.0,0.0,53452.0,99727.0
2011-06-30,52772.0,14987.0,1372.0,0.0,3320.0,74918.0,8162.0,10865.0,13325.0,1434.0,33786.0,108704.0,28774.0,11921.0,8072.0,22847.0,51621.0,63415.0,-6332.0,0.0,0.0,57083.0,108704.0
2011-09-30,57403.0,10153.0,2270.0,0.0,3255.0,75271.0,8033.0,8576.0,13563.0,1972.0,32144.0,107415.0,25543.0,11927.0,8201.0,22481.0,48024.0,63492.0,-4101.0,0.0,0.0,59391.0,107415.0
2011-12-31,51736.0,13643.0,1351.0,0.0,3614.0,72513.0,8010.0,7550.0,22251.0,1919.0,39730.0,112243.0,25373.0,11932.0,8386.0,22749.0,48122.0,63902.0,219.0,0.0,0.0,64121.0,112243.0
2012-03-31,59529.0,10961.0,1412.0,0.0,2608.0,76860.0,8225.0,9068.0,22454.0,1403.0,41150.0,118010.0,26170.0,11938.0,8525.0,23181.0,49351.0,65273.0,3386.0,0.0,0.0,68659.0,118010.0
2012-06-30,63040.0,15780.0,1137.0,0.0,3092.0,85084.0,8269.0,9776.0,16622.0,1520.0,36187.0,121271.0,32688.0,10713.0,8208.0,22220.0,54908.0,65797.0,-856.0,1422.0,0.0,66363.0,121271.0
2012-09-30,66644.0,9871.0,1624.0,0.0,3860.0,84051.0,8329.0,10038.0,17889.0,1569.0,37825.0,121876.0,31402.0,9714.0,8423.0,21638.0,53040.0,66084.0,932.0,1820.0,0.0,68836.0,121876.0
2012-12-31,68312.0,14317.0,1661.0,0.0,3301.0,89574.0,8698.0,10707.0,18068.0,1636.0,39109.0,128683.0,31910.0,11947.0,8397.0,24197.0,56107.0,66334.0,4236.0,2006.0,0.0,72576.0,128683.0
2013-03-31,74483.0,11991.0,2133.0,0.0,3241.0,93524.0,9204.0,11193.0,17922.0,2262.0,40581.0,134105.0,31929.0,11949.0,9721.0,25488.0,57417.0,66826.0,7657.0,2205.0,0.0,76688.0,134105.0
2013-06-30,77022.0,17486.0,1938.0,0.0,3388.0,101466.0,9991.0,10844.0,17738.0,2392.0,40965.0,142431.0,37417.0,12601.0,10000.0,26070.0,63487.0,67306.0,9895.0,1743.0,0.0,78944.0,142431.0
2013-09-30,80672.0,11007.0,2613.0,0.0,3900.0,99450.0,10774.0,11995.0,17649.0,2480.0,42898.0,142348.0,34623.0,12632.0,9587.0,26084.0,60707.0,67230.0,11680.0,2731.0,0.0,81641.0,142348.0
2013-12-31,83944.0,15986.0,1594.0,0.0,4018.0,106870.0,11567.0,14607.0,17625.0,2874.0,46673.0,153543.0,33742.0,20676.0,9790.0,34701.0,68443.0,67476.0,14347.0,3277.0,0.0,85100.0,153543.0
