Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,286.489,0.0,0.0,22.167,50.682,364.88,123.817,0.0,0.0,116.874,263.798,628.678,226.713,37.656,17.997,55.653,282.366,0.063,130.815,-0.447,0.0,346.312,628.678
2009-06-30,254.969,0.0,0.0,26.101,55.9,342.564,120.346,0.0,0.0,111.858,249.429,591.993,211.186,37.301,19.135,56.436,267.622,0.064,163.258,0.725,0.0,324.371,591.993
2009-09-30,155.462,0.0,0.0,22.618,51.176,234.962,122.119,0.0,0.0,117.806,257.169,492.131,203.522,36.94,19.467,56.407,259.929,0.064,193.399,0.552,0.0,232.202,492.131
2009-12-31,320.242,0.0,0.0,26.741,64.03,411.013,131.653,0.0,0.0,121.11,268.721,679.734,227.436,236.572,16.583,253.155,480.591,0.053,198.817,0.273,0.0,199.143,679.734
2010-03-31,266.33,0.0,0.0,57.642,55.566,379.538,127.165,0.0,0.0,122.799,268.755,648.293,243.447,235.704,22.407,258.111,501.558,0.052,146.196,0.487,0.0,146.735,648.293
2010-06-30,279.085,0.0,0.0,33.837,128.296,441.218,123.292,0.0,0.0,107.511,252.754,693.972,258.167,235.185,23.98,259.165,517.332,0.052,175.786,0.802,0.0,176.64,693.972
2010-09-30,256.813,0.0,0.0,59.322,176.112,492.247,125.057,0.0,0.0,133.76,278.036,770.283,312.107,234.659,31.542,266.201,578.308,0.052,190.644,1.279,0.0,191.975,770.283
2010-12-31,350.387,0.0,0.0,62.217,224.627,637.231,128.57,0.0,0.0,216.266,344.836,982.067,388.579,200.0,103.324,303.324,691.903,0.053,237.739,0.75,0.0,290.164,982.067
2011-03-31,342.721,0.0,0.0,74.597,304.284,721.602,134.8,0.0,0.0,211.334,368.586,1090.188,490.318,233.564,90.584,324.148,814.466,0.052,275.08,0.59,0.0,275.722,1090.188
2011-06-30,376.407,0.0,0.0,59.811,533.226,969.444,136.948,0.0,0.0,438.418,601.249,1570.693,726.709,232.986,276.964,509.95,1236.659,0.053,333.097,0.884,0.0,334.034,1570.693
2011-09-30,365.772,0.0,0.0,77.146,747.195,1190.113,143.993,0.0,0.0,598.709,771.4451,1961.558,967.966,232.4,372.84,605.24,1573.206,0.053,387.711,0.588,0.0,388.352,1961.558
2011-12-31,797.811,0.0,0.0,56.007,977.039,1830.857,136.353,0.0,0.0,1101.986,1238.339,3069.196,1225.055,400.0,801.331,1201.331,2426.386,0.055,422.93,0.706,0.0,642.81,3069.196
