Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,294.5,309.3,627.8,159.6,0.0,1604.1,2658.0,387.4,328.4,303.4,3677.2,5281.3,1685.9,549.4,415.6,965.0,2650.9,0.7,2491.7,37.4,0.0,2630.4,5281.3
2009-06-30,336.7,295.2,703.6,145.1,0.0,1717.7,2594.2,408.4,324.9,287.9,3615.4,5333.1,1557.9,549.4,407.8,957.2,2515.1,0.7,2643.2,47.8,0.0,2818.0,5333.1
2009-09-30,666.1,271.0,664.9,147.2,0.0,2035.8,2536.4,423.5,327.3,253.8,3541.0,5576.8,1581.0,549.3,389.6,938.9,2519.9,0.7,2793.2,65.4,0.0,3056.9,5576.8
2009-12-31,1356.7,263.4,544.9,141.0,0.0,2583.9,2482.7,393.4,331.1,310.5,3517.7,6101.6,1779.2,549.3,409.0,958.3,2737.5,0.7,3034.6,58.2,0.0,3364.1,6101.6
2010-03-31,1293.9,299.7,488.7,136.1,0.0,2490.4,2414.6,588.8,331.9,319.0,3654.3,6144.7,1646.6,549.3,394.1,943.4,2590.0,0.7,3177.1,47.9,0.0,3554.7,6144.7
2010-06-30,1395.1,282.5,496.6,156.0,0.0,2610.9,2361.5,592.8,330.6,311.1,3596.0,6206.9,1726.6,549.4,396.3,945.7,2672.3,0.7,3288.3,30.4,0.0,3534.6,6206.9
2010-09-30,1449.7,302.7,543.3,156.5,0.0,2756.4,2416.5,533.3,333.2,346.5,3629.5,6385.9,1779.1,549.4,375.1,924.5,2703.6,0.7,3471.2,57.2,0.0,3682.3,6385.9
2010-12-31,2050.6,316.1,620.5,151.0,0.0,3400.4,2393.6,483.5,335.7,317.9,3530.7,6931.1,1956.4,549.4,365.0,914.4,2870.8,0.7,3720.1,62.6,0.0,4060.3,6931.1
2011-03-31,1927.5,355.7,772.4,226.7,0.0,3540.3,2378.5,447.5,337.9,323.4,3487.3,7027.6,1794.2,549.4,356.8,906.2,2700.4,0.8,3883.7,84.6,0.0,4327.2,7027.6
2011-06-30,1952.5,361.5,856.7,152.8,0.0,3587.0,2384.8,473.7,340.2,312.1,3510.8,7097.8,1859.4,549.4,347.5,896.9,2756.3,0.7,4065.7,97.5,0.0,4341.5,7097.8
2011-09-30,2050.7,386.5,965.8,161.5,0.0,3794.9,2355.0,479.3,321.6,409.6,3565.5,7360.4,2075.8,549.5,347.8,897.3,2973.1,0.7,4297.4,46.3,0.0,4387.3,7360.4
2011-12-31,2273.2,431.0,1124.0,180.1,0.0,4237.1,2347.3,528.1,337.1,386.0,3598.5,7835.6,2158.8,549.5,352.0,901.5,3060.3,0.8,4551.2,42.1,0.0,4775.3,7835.6
2012-03-31,2234.3,437.4,1205.0,259.6,0.0,4351.5,2382.5,539.7,340.7,392.1,3655.0,8006.5,1971.4,549.6,348.8,898.4,2869.8,0.8,4732.1,41.7,0.0,5136.7,8006.5
2012-06-30,2497.6,433.0,1249.2,172.9,0.0,4569.6,2444.2,554.4,336.7,404.0,3739.3,8308.9,2018.2,549.6,353.1,902.7,2920.9,0.8,4935.8,-2.5,0.0,5388.0,8308.9
2012-09-30,2037.0,485.9,1241.5,196.5,0.0,4199.6,2658.9,575.9,542.8,144.7,4019.6,8219.2,2209.8,549.6,345.3,894.9,3104.7,0.7,5046.2,22.7,0.0,5114.5,8219.2
2012-12-31,2459.7,469.2,1093.2,178.3,0.0,4416.0,2711.1,534.3,400.2,428.5,4074.1,8490.1,2390.9,549.6,374.6,924.2,3315.1,0.7,5117.3,11.9,0.0,5175.0,8490.1
