Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,47.304,6.467,29.518,6.745,0.0,90.034,33.156,0.0,0.0,24.784,57.94,147.974,68.634,46.058,5.007,389.115,457.749,0.008,-328.689,0.0,0.0,-309.775,147.974
2010-09-30,184.693,8.062,39.508,8.87,0.0,241.133,37.153,0.0,0.0,77.592,120.488,361.621,69.328,57.123,12.733,72.37,141.698,0.093,-363.624,0.0,0.0,219.923,361.621
2010-12-31,173.155,6.71,45.182,10.839,0.0,235.886,114.636,0.0,0.0,27.597,150.196,386.082,85.565,72.324,18.362,93.469,179.034,0.095,-414.982,0.0,0.0,207.048,386.082
2011-03-31,143.598,20.26,50.823,12.225,0.0,226.906,143.372,0.0,0.0,27.87,180.383,407.289,112.976,102.905,20.581,126.575,239.551,0.096,-463.922,0.0,0.0,167.738,407.289
2011-06-30,330.631,23.308,54.312,9.507,0.0,417.758,189.647,0.0,0.0,28.217,228.397,646.155,138.736,134.536,21.206,158.967,297.703,0.104,-522.826,0.0,0.0,348.452,646.155
2011-09-30,333.693,18.25,49.216,10.962,0.0,412.121,248.122,0.0,0.0,28.335,288.129,700.25,154.181,225.661,22.754,251.951,406.132,0.104,-587.903,-0.024,0.0,294.118,700.25
2011-12-31,303.803,9.539,50.082,9.414,0.0,372.838,298.414,0.0,0.0,30.439,340.61,713.448,191.339,271.165,23.753,298.064,489.403,0.104,-669.392,-0.003,0.0,224.045,713.448
2012-03-31,282.778,13.589,55.427,7.103,0.0,358.897,364.128,0.0,0.0,26.029,402.203,761.1,235.722,344.044,24.388,371.504,607.226,0.105,-759.265,-0.006,0.0,153.874,761.1
2012-06-30,232.514,11.023,66.669,6.92,0.0,317.126,421.859,0.0,0.0,26.101,459.743,776.869,286.526,400.875,24.643,428.128,714.654,0.105,-864.871,0.0,0.0,62.215,776.869
2012-09-30,108.554,9.164,159.048,7.775,0.0,284.541,486.248,0.0,0.0,26.599,524.636,809.177,385.806,420.485,28.284,451.246,837.052,0.106,-975.674,0.0,0.0,-27.875,809.177
2012-12-31,220.984,26.842,268.504,8.438,0.0,524.768,552.229,0.0,0.0,27.122,589.422,1114.19,539.108,411.46,35.862,450.382,989.49,0.115,-1065.606,0.0,0.0,124.7,1114.19
2013-03-31,231.136,46.139,237.618,11.1,0.0,525.993,581.997,0.0,0.0,26.728,617.785,1143.778,535.623,399.245,35.004,439.572,975.195,0.115,-1054.357,0.0,0.0,168.583,1143.778
2013-06-30,747.419,113.544,254.891,13.688,0.0,1129.542,595.579,0.0,0.0,31.255,758.302,1887.844,486.545,587.989,115.591,771.873,1258.418,0.121,-1084.858,0.0,0.0,629.426,1887.844
2013-09-30,796.381,47.58,347.545,27.26,0.0,1218.766,654.482,0.0,0.0,24.137,947.4431,2166.209,1169.459,88.429,212.858,432.585,1602.044,0.123,-1123.355,0.0,0.0,564.165,2166.209
2013-12-31,848.901,49.109,340.355,27.574,0.0,1265.939,738.494,0.0,0.0,30.072,1150.991,2416.93,675.16,598.974,294.496,1074.65,1749.81,0.123,-1139.62,0.0,0.0,667.12,2416.93
2014-03-31,2584.068,72.38,450.73,48.869,0.0,3156.047,849.389,0.0,0.0,43.245,1344.363,4500.41,1413.47,1602.481,361.586,2174.884,3588.354,0.124,-1189.42,0.0,0.0,912.056,4500.41
2014-06-30,2686.624,96.607,596.927,61.536,0.0,3441.694,1035.822,0.0,0.0,45.721,1612.769,5054.463,1575.85,1847.206,444.094,2526.28,4102.13,0.125,-1251.327,0.0,0.0,952.333,5054.463
2014-09-30,2388.066,156.889,752.492,65.467,0.0,3362.914,1404.326,0.0,0.0,52.55,2074.619,5437.533,1839.777,1861.602,523.739,2639.662,4479.439,0.125,-1326.041,0.0,0.0,958.094,5437.533
2014-12-31,1923.66,226.604,953.675,76.134,0.0,3180.073,1829.267,0.0,0.0,54.583,2650.594,5830.667,2107.166,1876.981,642.539,2811.791,4918.957,0.126,-1433.66,-0.022,0.0,911.71,5830.667
2015-03-31,1530.769,200.052,1054.84,135.756,0.0,2921.417,2224.191,0.0,0.0,62.361,3198.613,6120.03,2192.381,1954.214,834.588,3101.652,5294.033,0.126,-1587.841,-15.965,0.0,825.997,6120.03
2015-06-30,1171.264,138.648,1212.279,106.43,0.0,2628.621,2646.017,0.0,0.0,73.301,3839.564,6468.185,2384.388,2049.616,983.619,3367.863,5752.251,0.127,-1772.068,-14.804,0.0,715.934,6468.185
