Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-03-31,1.4003,0.0247,0.0254,23.4813,4.9908,4.9908,0.0,5.0726,3.6204,0.7004,2.955,8.3288,10.8059,6.0658,7.1227,2.5358,5.9158,6.8019,-1.3387,-1.4645
2009-06-30,1.4587,0.0324,0.0335,24.3604,3.4186,3.4186,0.0,3.8486,3.0531,0.606,2.6551,7.964,11.3008,4.3612,5.0624,1.8502,4.2199,7.537,1.0728,0.8963
2009-09-30,1.4038,0.0313,0.0324,23.3621,4.6064,4.6064,0.0,4.8082,3.652,0.6073,2.5826,8.1207,11.0828,5.5509,6.3619,2.218,5.3769,8.2794,1.8124,1.5795
2009-12-31,1.3304,0.0,0.0,20.7668,4.9895,4.9895,0.0,4.958,4.0336,0.6892,3.4744,9.6356,9.3403,7.3045,9.5451,2.78,7.3045,11.8401,5.9037,5.595
2010-03-31,1.5336,0.0228,0.0233,22.8579,5.5252,5.5252,0.0,5.6233,4.193,0.5922,3.0225,8.7497,10.2861,5.3222,6.8203,2.483,5.2009,12.5964,-2.4185,-2.7269
2010-06-30,1.5463,0.022,0.0225,24.505,4.1121,4.1121,0.0,4.5233,3.1526,0.5296,2.5552,8.1565,11.0341,3.5342,4.4728,1.6698,3.4563,13.0737,0.5548,0.1247
2010-09-30,1.4995,0.025,0.0256,23.4656,3.545,3.545,0.0,3.8624,3.0556,0.5338,2.3006,7.8832,11.4167,3.6111,4.5117,1.6311,3.5208,14.2472,1.8791,1.1899
2010-12-31,1.3254,0.1853,0.2274,20.3136,3.6611,3.6611,0.0,3.916,3.2054,0.6888,3.222,8.1582,11.0319,6.046,7.5249,2.2078,4.9258,15.2195,7.6491,6.9298
2011-03-31,1.4603,0.1972,0.2457,22.8163,3.2667,3.2667,0.0,3.1145,2.0392,0.5839,2.6343,7.559,11.9063,2.7358,3.4453,1.1906,2.1962,16.2544,-3.4553,-4.1046
2011-06-30,1.402,0.2153,0.2744,24.0896,2.0276,2.0276,0.0,2.2697,1.9268,0.5525,2.3304,6.8936,13.0556,2.4598,3.2616,1.0646,1.9301,17.1035,0.927,-0.0128
2011-09-30,1.3259,0.2293,0.2975,23.4553,0.7264,0.7264,0.0,1.1953,0.5793,0.5708,2.2082,7.2701,12.3796,0.8112,1.0802,0.3306,0.6252,17.0681,1.7344,0.5881
2011-12-31,1.1741,0.0318,0.0329,20.6586,1.4916,1.4916,0.0,1.5604,1.0097,0.6896,2.7704,6.7799,13.2746,2.2689,3.0334,0.6963,2.1967,17.0484,9.2603,8.0673
2012-03-31,1.1588,0.2619,0.3548,23.9515,1.4562,1.4562,0.0,0.6371,0.986,0.6483,2.3565,7.2725,12.3754,1.7879,2.4524,0.6392,1.3197,16.1578,-5.3,-6.1391
2012-06-30,1.0756,0.2538,0.3402,26.0714,0.8337,0.8337,0.0,1.1376,0.0545,0.6105,2.1662,6.3066,14.2707,0.0933,0.1404,0.0333,0.0696,16.604,1.2738,-0.1644
2012-09-30,1.0407,0.2616,0.3543,25.2571,-0.2028,-0.2028,0.0,-0.1594,-1.9846,0.6046,2.0373,5.7717,15.5932,-3.6277,-5.4658,-1.2,-2.6787,16.6733,2.0328,0.4185
2012-12-31,1.1207,0.2735,0.3765,24.1255,1.9043,1.9043,0.0,1.5798,0.4608,0.6533,2.6757,5.5719,16.1524,1.1963,1.7376,0.301,0.8691,18.0441,11.2208,6.757
2013-03-31,1.1382,0.265,0.3605,26.565,1.1263,1.1263,0.0,0.504,0.5103,0.5663,2.1874,6.3871,14.0909,0.9725,1.3905,0.289,0.7148,18.5319,-5.1231,-6.5702
2013-06-30,1.1052,0.2583,0.3483,28.6233,0.5031,0.5031,0.0,0.1083,-0.0446,0.5301,2.0681,5.489,16.3965,-0.0802,-0.1144,-0.0236,-0.0594,19.1094,1.8512,-0.0482
2013-09-30,1.0743,0.2509,0.3349,27.6504,-0.1463,-0.1463,0.0,-0.2516,-0.2399,0.5365,2.0379,5.5911,16.097,-0.4512,-0.6355,-0.1287,-0.338,19.8406,3.0465,0.7803
2013-12-31,1.0716,0.2467,0.3274,26.5028,1.9933,1.9933,0.0,1.7627,0.938,0.6371,2.5374,5.3673,16.7682,2.4625,3.3846,0.5976,1.8551,21.2331,11.9996,10.2058
2014-03-31,1.0528,0.2335,0.3047,28.803,0.7396,0.7396,0.0,0.6079,0.5471,0.5429,2.0928,5.0041,17.9854,1.0457,1.4072,0.297,0.8015,22.4522,-5.3462,-7.6538
2014-06-30,1.0002,0.2273,0.2942,30.7187,-0.0776,-0.0776,0.0,-0.1396,-0.6515,0.5103,2.0167,4.6885,19.196,-1.1885,-1.5899,-0.3325,-0.9183,22.9481,1.7887,-1.0447
2014-09-30,0.8911,0.2307,0.2998,28.9227,-2.6435,-2.6435,0.0,-3.0808,-2.1235,0.5091,1.9993,4.7059,19.1248,-4.2279,-6.2393,-1.0812,-3.2527,22.324,3.8318,0.8778
2014-12-31,1.1153,0.4349,0.7695,29.5179,2.0151,2.0151,0.0,1.4662,0.7297,0.5381,2.4908,5.2259,17.2218,1.9924,2.8833,0.3926,1.126,23.0989,14.5352,12.0393
2015-03-31,1.1184,0.4316,0.7594,32.2314,1.1225,1.1225,0.0,0.0924,-0.2509,0.4537,2.0892,4.7605,18.9057,-0.5242,-0.7721,-0.1138,-0.298,23.3326,-3.2237,-5.0968
2015-06-30,1.1037,0.4121,0.7011,34.6129,2.0013,2.0013,0.0,1.5614,0.3968,0.4421,2.0295,4.7124,19.0986,0.7818,1.1158,0.1754,0.4596,25.1453,4.2699,1.7649
2015-09-30,1.0822,0.3987,0.6632,33.9262,1.6011,1.6011,0.0,0.9741,0.3115,0.451,1.8656,4.6614,19.3075,0.6356,0.8875,0.1405,0.3821,26.5032,5.4559,2.9721
2015-12-31,1.0536,0.3807,0.6147,31.9057,3.0996,3.0996,0.0,2.6241,1.3484,0.5521,2.3764,6.3223,14.2354,3.6013,5.0078,0.7444,2.2303,28.4161,18.7369,15.9783
2016-03-31,1.0825,0.3577,0.557,35.2307,3.6769,3.6769,0.0,3.6254,1.7612,0.4765,1.9689,5.7429,15.6715,3.4766,4.676,0.8392,2.2329,31.2627,-4.0603,-6.5114
2016-06-30,1.089,0.3318,0.4966,36.9162,4.2264,4.2264,0.0,3.8778,2.8187,0.4672,2.0004,4.9908,18.0332,5.182,6.7142,1.3169,3.4626,34.8903,7.4247,3.8924
2016-09-30,1.063,0.3157,0.4614,35.0125,1.7577,1.7577,0.0,1.5009,0.7703,0.4614,1.9877,4.9823,18.0638,1.4172,1.8043,0.3554,0.9697,37.4358,9.5923,5.8211
2016-12-31,1.0448,0.2852,0.399,33.7944,2.8692,2.8692,0.0,2.6657,1.7124,0.5245,2.5267,5.2454,17.158,3.8838,4.8319,0.8981,2.7762,40.4298,22.5867,18.4219
2017-03-31,1.0551,0.2619,0.3548,37.1675,2.814,2.814,0.0,2.6684,2.0272,0.4411,2.117,4.873,18.4692,3.3404,4.0558,0.8942,2.4655,45.3431,-3.3041,-7.102
2017-06-30,1.012,0.2487,0.331,38.2137,1.6546,1.6546,0.0,1.7547,0.519,0.4324,2.0374,4.7173,19.0789,0.8486,1.039,0.2244,0.6376,48.3625,7.8366,2.7687
2017-09-30,1.032,0.5005,1.0021,37.0222,0.7933,0.7933,0.0,0.7224,0.5852,0.3795,2.0093,4.1436,21.7202,1.0382,2.2482,0.2221,0.5186,51.1577,7.6274,2.2786
2017-12-31,1.04,0.4717,0.893,36.3241,3.5168,3.5168,0.0,3.095,3.0702,0.4604,2.3988,4.5923,19.598,6.6982,12.9257,1.4134,3.5385,57.25,25.0916,18.9046
2018-03-31,1.0579,0.4392,0.7831,39.7849,3.7753,3.7753,0.0,3.7538,3.1915,0.4039,2.2207,4.2443,21.2049,5.1775,9.0124,1.2892,2.9036,64.8722,-3.5964,-9.0723
2018-06-30,1.0724,0.4132,0.704,42.0792,5.6404,5.6404,0.0,4.9257,4.7914,0.3944,2.0664,4.195,21.4543,7.241,12.0374,1.8896,4.2493,71.8583,14.9124,9.0363
2018-09-30,1.0824,0.3868,0.6309,41.6661,6.5823,6.5823,0.0,5.9919,5.0958,0.3937,2.0806,3.968,22.6814,7.3687,11.7329,2.0063,4.5182,80.0102,17.1191,12.0979
2018-12-31,1.0981,0.3504,0.5395,38.1264,5.2319,5.2319,0.0,4.6282,4.1819,0.445,2.6078,4.3403,20.736,6.9508,10.4376,1.8611,4.5149,88.6945,33.0109,26.7381
2019-03-31,1.0901,0.3251,0.4818,43.1826,7.4037,7.4037,0.0,7.3719,5.9648,0.3352,2.0643,3.7362,24.089,7.3559,10.5661,1.9994,4.9643,98.3943,3.6773,-1.743
2019-06-30,1.1021,0.3054,0.4397,42.6897,4.864,4.864,0.0,4.5565,4.1401,0.3313,1.9557,3.786,23.7718,4.9471,6.8477,1.3718,3.4363,107.4109,18.1179,12.8742
2019-09-30,1.0959,0.2845,0.3977,40.9811,4.5112,4.5112,0.0,3.761,3.0494,0.3515,2.2009,4.1441,21.7178,3.7765,5.1084,1.0718,2.702,114.1576,15.6155,8.9204
2019-12-31,1.097,0.2739,0.3773,38.2676,4.4375,4.4375,0.0,4.6365,3.7375,0.3882,2.6334,4.2005,21.4262,5.2659,6.9082,1.4508,3.8234,124.6185,39.006,31.1885
2020-03-31,1.0787,0.2642,0.3591,41.3442,5.2868,5.2868,0.0,4.4836,3.3598,0.341,2.347,4.2303,21.275,3.8837,5.0165,1.1458,2.8577,130.8056,6.0553,-4.6719
2020-06-30,1.1812,0.31,0.4493,40.7729,6.5717,6.5717,0.0,6.9968,5.8968,0.3442,2.6869,4.4639,20.1617,7.1113,8.8899,2.0297,4.9066,147.1617,40.4457,27.5147
