Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-03-31,1.7094,0.0,0.0541,79.3816,32.5176,32.5176,0.0,29.6747,21.8127,0.1982,4.2831,1.4864,60.5495,8.0584,13.1534,4.3237,8.0584,4.1518,1.7066,1.4537
2009-06-30,1.8229,0.0865,0.1453,80.258,30.4374,30.4374,0.0,31.6207,23.2461,0.1682,3.6067,1.1704,76.8975,7.6976,12.0375,3.9095,7.0317,4.4407,0.4096,0.3158
2009-09-30,1.816,0.0833,0.1455,78.0031,34.6904,34.6904,0.0,36.8808,27.6625,0.1583,2.4713,1.5046,59.8166,8.6722,13.2483,4.3793,7.9496,4.6306,0.6798,0.6314
2009-12-31,2.0411,0.078,0.1354,80.9274,44.7534,44.7534,0.0,46.6986,35.0226,0.2317,6.1596,1.699,52.9724,15.0442,21.7933,8.1149,13.8708,5.0259,0.5576,0.5154
2010-03-31,2.0632,0.0757,0.1312,81.0039,35.6685,35.6685,0.0,36.8269,27.6219,0.1708,5.499,1.5873,56.7007,8.7639,12.5325,4.7179,8.1001,5.2168,0.8434,0.7966
2010-06-30,2.1293,0.0966,0.1286,80.2357,36.9724,36.9724,0.0,37.5585,28.1688,0.1863,4.2838,1.2324,73.0258,9.7845,13.8491,5.2466,8.8391,5.3271,0.6159,0.5318
2010-09-30,2.3043,0.1707,0.2272,80.6175,43.9395,43.9395,0.0,44.6434,33.4054,0.1769,2.5274,1.6789,53.6054,11.5249,16.2005,5.91,9.5571,5.4826,0.9424,0.8775
2010-12-31,2.4549,0.1663,0.1995,75.7781,40.9212,40.9212,0.0,42.5851,33.2481,0.2162,5.6132,1.5499,58.0695,13.6837,18.9613,7.187,11.408,5.7695,0.5022,0.444
2011-03-31,2.7561,0.1823,0.2229,76.2783,34.7516,34.7516,0.0,36.6752,31.8481,0.1647,3.6903,1.6374,54.9653,9.7882,13.0611,5.2463,8.004,6.3399,1.0292,0.951
2011-06-30,2.6037,0.1728,0.2088,78.6492,35.5329,35.5329,0.0,36.3851,33.8228,0.1598,2.7026,1.1588,77.6663,10.2903,13.4238,5.4037,8.5125,6.8151,0.6676,0.5948
2011-09-30,2.9468,0.1672,0.2008,78.2581,41.4633,41.4633,0.0,42.0562,33.0302,0.1617,1.6639,1.711,52.6002,9.6614,12.5207,5.3419,8.0457,7.062,1.0004,0.949
2011-12-31,2.8579,0.1569,0.1861,73.0046,38.2763,38.2763,0.0,39.4494,31.7165,0.1861,4.1732,1.5308,58.792,10.3305,15.8204,5.9015,8.7097,7.6498,0.6954,0.6365
2012-03-31,2.937,0.1481,0.1739,77.2965,36.6175,36.6175,0.0,36.5543,29.3445,0.1475,2.7989,1.5881,56.672,7.4397,11.0551,4.3284,6.3377,8.1737,1.1224,1.0346
2012-06-30,2.6029,0.139,0.18,76.9478,1.0632,1.0632,0.0,1.9879,-2.7244,0.1489,3.6614,1.1444,78.6422,-0.7414,-0.9891,-0.4057,-0.6383,7.9183,0.8999,0.827
2012-09-30,2.6766,0.1237,0.1736,73.963,33.1584,33.1584,0.0,34.5702,27.8986,0.1313,2.5665,1.6217,55.4966,6.4879,8.766,3.6644,5.6856,8.1734,0.9988,0.9278
2012-12-31,2.8071,0.1413,0.1955,73.4713,36.2183,36.2183,0.0,36.2137,29.7213,0.1667,3.4269,1.4986,60.0545,8.7867,11.6992,4.9556,7.5447,8.6668,0.572,0.4615
2013-03-31,2.9291,0.1348,0.1851,76.6363,37.1516,37.1516,0.0,37.1077,29.5524,0.1528,2.2443,1.7087,52.6717,7.8956,10.3036,4.5151,6.8312,9.1853,1.1496,1.0389
2013-06-30,2.7118,0.1376,0.1976,71.16,30.5237,30.5237,0.0,30.8856,24.9548,0.1397,2.9608,1.1378,79.0983,6.2893,8.112,3.4859,5.4236,9.4793,0.6837,0.4733
2013-09-30,2.8724,0.134,0.1951,72.2327,34.1843,34.1843,0.0,34.5836,28.3016,0.1302,1.969,1.6834,53.4638,6.4232,8.1948,3.6839,5.5626,9.7821,0.9728,0.8269
2013-12-31,3.1673,0.1955,0.27,66.059,32.5013,32.5013,0.0,32.1302,26.7466,0.1597,5.2208,1.5338,58.6786,7.7062,9.7192,4.2711,6.1999,10.253,0.5302,0.3232
2014-03-31,3.2152,0.1913,0.2594,70.7004,34.1813,34.1813,0.0,34.0979,27.741,0.1307,3.1135,1.5117,59.5368,6.4742,8.1121,3.6254,5.2357,10.584,1.2121,1.0684
2014-06-30,2.504,0.187,0.2522,67.3552,27.7222,27.7222,0.0,28.1285,19.7246,0.1356,2.8695,1.1964,75.2271,5.1368,7.3585,2.6754,4.1764,10.8974,1.1546,0.9982
2014-09-30,2.5158,0.17,0.2631,64.3421,25.1886,25.1886,0.0,25.4127,19.5681,0.1368,2.6339,1.8003,49.9905,5.0349,7.1613,2.676,4.1789,10.9231,1.0004,0.8468
2014-12-31,2.4541,0.1658,0.3081,61.7076,29.3767,29.3767,0.0,29.6562,22.1496,0.1514,4.9372,1.6354,55.0336,6.3812,9.3472,3.3532,5.3233,11.1802,0.5296,0.3491
2015-03-31,2.9056,0.2347,0.3536,67.044,30.3465,30.3465,0.0,29.9922,22.9417,0.123,2.9004,1.7485,51.4718,5.5308,8.1135,2.8214,4.2326,11.1096,1.2403,1.069
2015-06-30,2.4734,0.2577,0.4407,66.33,-9.2561,-9.2561,0.0,-7.917,-14.4049,0.1271,2.5734,1.2386,72.6655,-3.9896,-5.4794,-1.8312,-2.9613,9.9767,0.8241,0.6093
2015-09-30,2.4627,0.2643,0.498,64.6352,28.4263,28.4263,0.0,27.0524,24.0542,0.1179,1.8886,1.7808,50.5403,6.3297,8.8232,2.8352,4.6569,9.6976,1.098,0.9302
