Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-03-31,1.6094,0.0981,0.1122,34.2123,9.2543,9.2543,0.0,9.4928,5.6745,0.6269,0.0,0.0,0.0,6.4575,6.4575,3.5571,5.8242,0.8458,0.1544,0.139
2009-06-30,1.6221,0.1031,0.1189,34.0913,12.9207,12.9207,0.0,12.9677,7.9418,0.6901,0.0,0.0,0.0,10.0018,10.0018,5.4803,8.9703,0.8071,0.1831,0.1661
2009-09-30,1.1545,0.1373,0.1649,34.9419,11.6603,11.6603,0.0,11.9283,7.1235,0.8598,0.0,0.0,0.0,12.9805,12.9805,6.1246,11.1989,0.6071,0.2031,0.1776
2009-12-31,1.8072,0.543,1.195,38.0293,12.0009,12.0009,0.0,11.5481,6.9539,0.654,0.0,0.0,0.0,15.523,15.523,4.5478,7.0948,0.5324,0.2543,0.1999
2010-03-31,1.559,0.6163,1.6194,37.7793,11.8188,11.8188,0.0,11.0111,6.5372,0.7615,0.0,0.0,0.0,21.9934,21.9934,4.978,8.4385,0.4011,0.2014,0.1847
2010-06-30,1.709,0.5711,1.3426,39.4147,14.8786,14.8786,0.0,14.1145,8.372,0.749,0.0,0.0,0.0,24.6371,24.6371,6.271,10.5674,0.482,0.1601,0.145
2010-09-30,1.5772,0.55,1.2329,37.7337,12.563,12.563,0.0,11.8234,6.8629,0.7182,0.0,0.0,0.0,19.7771,19.7771,4.929,8.8992,0.5248,0.1145,0.0949
2010-12-31,1.6399,0.408,0.6893,34.4226,13.165,13.165,0.0,12.5115,7.9029,0.6068,0.0,0.0,0.0,16.2305,16.2305,4.7955,9.608,0.7853,0.2511,0.2135
2011-03-31,1.4717,0.4586,0.8549,39.0232,14.2286,14.2286,0.0,13.6719,8.3825,0.6591,0.0,0.0,0.0,21.8456,21.8456,5.525,11.827,0.75,0.3063,0.2634
2011-06-30,1.334,0.4109,0.7041,37.8682,14.5971,14.5971,0.0,14.0531,8.6499,0.5021,0.0,0.0,0.0,20.4213,20.4213,4.3429,12.0303,0.9083,0.2309,0.2077
2011-09-30,1.2295,0.3744,0.6042,34.7053,11.7836,11.7836,0.0,11.3919,7.6,0.419,0.0,0.0,0.0,16.0834,16.0834,3.1842,10.062,1.0567,0.1317,0.0943
2011-12-31,1.4945,0.3836,0.6223,34.3112,7.0664,7.0664,0.0,6.4912,4.0224,0.2853,0.0,0.0,0.0,5.4789,5.4789,1.1475,3.3773,1.6576,0.1659,0.1389
2012-03-31,1.4231,0.3762,0.603,28.2663,-0.2225,-0.2225,0.0,-0.8077,-0.527,0.2499,0.0,0.0,0.0,-0.691,-0.691,-0.1317,-0.4311,1.7071,0.0492,0.0369
2012-06-30,1.4263,0.3676,0.5812,27.6367,1.8168,1.8168,0.0,1.1983,0.6932,0.2556,0.0,0.0,0.0,0.8956,0.8956,0.1772,0.5664,1.7704,0.0444,0.0369
