Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2009-06-30,0.0,0.0,0.0,7.7974,-30.013,-30.013,0.0,-40.3006,-40.3303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8134,-0.9118
2009-09-30,0.0,0.0,0.0,16.9108,-9.4252,-9.4252,0.0,-10.6179,-10.1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6642,-0.7279
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4776,1.6397
2010-03-31,0.0,0.0,0.0,18.5086,-124.9183,-124.9183,0.0,-141.2695,-141.8364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7485,-0.8984
2010-06-30,1.3118,-0.1746,-0.1496,22.0419,-110.4101,-110.4101,0.0,-135.5677,-135.5994,0.192,0.7502,4.3923,20.4904,12.4339,12.4339,-26.0296,14.6054,-8.044,-0.4965,-0.7466
2010-09-30,3.4781,0.2062,0.2611,29.7558,-121.1037,-121.1037,0.0,-111.5585,-111.8242,0.0864,0.5555,3.8751,23.2253,-15.8851,-15.8851,-9.6607,-12.6098,0.4717,1.0423,1.3923
2010-12-31,2.7568,0.2589,0.3507,31.2021,-142.3248,-142.3248,0.0,-141.6359,-141.5339,0.094,0.5525,5.4078,16.6428,-24.8044,-24.8044,-13.3021,-18.383,0.4363,-0.3013,-0.4099
2011-03-31,2.0084,0.3802,0.6151,36.7693,-96.5654,-96.5654,0.0,-99.5126,-99.8185,0.1204,0.61,2.42,37.1895,-29.1771,-29.1771,-12.0163,-18.0832,0.3511,-0.091,-0.134
2011-06-30,3.0112,0.2785,0.3869,31.8165,-100.9764,-100.9764,0.0,-101.0194,-101.2584,0.09,0.7303,2.4958,36.0613,-16.9042,-16.9042,-9.1159,-12.1955,0.6702,-0.0436,-0.1536
2011-09-30,2.673,0.4341,0.7686,29.8686,-111.8111,-111.8111,0.0,-112.7025,-112.8533,0.0824,0.8217,3.1598,28.483,-22.1265,-22.1265,-9.2935,-12.5203,0.5646,-0.0331,-0.1561
2011-12-31,1.9486,0.5476,1.2504,19.8984,-205.5263,-205.5263,0.0,-206.6692,-206.9562,0.0552,0.6298,4.1278,21.8034,-36.3717,-36.3717,-11.4219,-16.4555,0.4287,-0.0874,-0.1784
2012-03-31,1.5225,0.691,2.378,33.8449,-294.2387,-294.2387,0.0,-297.7227,-297.9183,0.0396,0.3601,2.22,40.5413,-58.4069,-58.4069,-11.8083,-18.0498,0.2926,-0.1208,-0.2254
2012-06-30,1.1068,0.8657,7.0557,17.8667,-398.3604,-398.3604,0.0,-395.8054,-396.2143,0.0343,0.3284,2.4179,37.2217,-169.7387,-169.7387,-13.5934,-22.804,0.1181,-0.1216,-0.2313
2012-09-30,0.7375,1.071,-17.0229,-17.4856,-216.4698,-216.4698,0.0,-220.9165,-221.148,0.0619,0.3701,5.4675,16.461,397.5031,397.5031,-13.6934,-28.2224,-0.0527,-0.1907,-0.3083
2012-12-31,0.9734,0.7674,3.7423,7.7876,-29.6688,-29.6688,0.0,-29.4063,-29.358,0.2749,1.052,11.4124,7.8861,-72.1195,-72.1195,-8.0716,-16.7735,0.2184,-0.0584,-0.1722
2013-03-31,0.982,0.7031,2.7022,17.1451,-0.994,-0.994,0.0,2.029,2.0022,0.4912,1.9589,12.1761,7.3915,6.6721,6.6721,0.9834,1.9809,0.2928,0.1031,0.0102
2013-06-30,2.3216,0.483,0.9432,24.8021,-2.9106,-2.9106,0.0,-7.4545,-7.5288,0.2146,1.1952,3.5681,25.2233,-4.846,-4.846,-1.6157,-2.5055,1.0367,-0.0544,-0.1277
2013-09-30,1.0422,0.1355,1.1998,23.8481,-7.0834,-7.0834,0.0,-8.7443,-8.9246,0.1991,0.9451,9.0657,9.9275,-6.8235,-6.8235,-1.7771,-5.8989,0.9206,0.166,0.0453
2013-12-31,1.875,0.4731,0.9097,25.4529,-2.1705,-2.1705,0.0,-2.4229,-2.6436,0.2545,1.3475,12.5276,7.1841,-2.4379,-2.4379,-0.6729,-1.2846,1.0839,0.2288,0.0732
2014-03-31,2.2328,0.6373,2.413,24.9988,-7.0853,-7.0853,0.0,-7.8949,-8.0252,0.1379,1.0326,8.5734,10.4976,-5.4602,-5.4602,-1.1066,-1.9805,1.4706,0.0951,-0.1339
2014-06-30,2.184,0.6598,2.5733,27.6851,-3.7373,-3.7373,0.0,-7.8963,-8.0458,0.1522,0.932,7.9637,11.3013,-6.4998,-6.4998,-1.2247,-2.2111,1.5288,-0.0033,-0.2846
2014-09-30,1.8279,0.6602,2.5768,29.5668,-4.5937,-4.5937,0.0,-8.333,-8.7706,0.1567,0.7973,5.4293,16.5766,-7.7976,-7.7976,-1.3739,-2.6495,1.5285,-0.0453,-0.4976
2014-12-31,1.5092,0.6731,2.729,27.3553,-7.823,-7.823,0.0,-10.8622,-11.2508,0.1641,0.7287,4.2217,21.3183,-11.8055,-11.8055,-1.846,-3.8596,1.4508,-0.1386,-0.7335
2015-03-31,1.3325,0.7029,3.129,27.6709,-10.8999,-10.8999,0.0,-16.0809,-16.4043,0.1536,0.6445,4.6982,19.1564,-18.6661,-18.6661,-2.5193,-5.5457,1.3074,-0.2093,-0.8859
2015-06-30,1.1024,0.7411,3.7544,22.343,-17.8212,-17.8212,0.0,-18.9596,-19.2913,0.1476,0.6117,6.8878,13.0666,-25.7324,-25.7324,-2.8482,-6.6615,1.1266,-0.2506,-0.8862
2015-09-30,1.1743,0.6067,2.0381,24.7117,-19.6055,-19.6055,0.0,-24.3464,-24.5368,0.1241,0.5452,7.8089,11.5253,-17.4843,-17.4843,-3.0455,-6.8774,2.0086,-0.307,-0.8918
2015-12-31,0.9897,0.6562,2.488,17.998,-21.4376,-21.4376,0.0,-25.9679,-26.3836,0.1505,0.7793,7.1872,12.5223,-29.565,-29.9188,-3.9712,-10.1646,1.6492,-0.0513,-0.7048
2016-03-31,1.0163,0.7225,3.2588,22.0102,-21.6403,-21.6403,0.0,-24.2728,-24.6081,0.1248,0.6871,3.6064,24.9554,-29.0888,-29.0887,-3.0709,-8.071,1.4498,-0.3763,-0.7032
2016-06-30,1.3816,0.5132,1.303,21.6356,-18.7431,-18.7431,0.0,-22.798,-23.0854,0.107,0.6183,7.1112,12.6561,-11.6331,-11.6331,-2.4702,-5.6628,3.4055,0.2345,-0.1695
2016-09-30,1.267,0.478,1.013,27.703,3.7252,3.7252,0.0,1.3057,0.9519,0.1825,1.0356,7.0311,12.8003,0.8162,0.8162,0.1737,0.426,3.5782,0.5552,0.3186
2016-12-31,1.0743,0.5149,1.2693,19.0524,-11.6736,-11.6736,0.0,-9.1218,-5.311,0.1008,0.8945,4.5771,19.663,-3.9629,-4.2517,-0.9684,-1.9223,6.8557,-0.5851,-1.3939
2017-03-31,1.1253,0.5528,1.4093,24.773,-9.5521,-9.5521,0.0,-13.7932,-12.2494,0.1076,0.9135,6.123,14.6986,-6.8517,-7.4001,-1.5853,-3.064,7.0622,-0.0861,-0.7678
2017-06-30,0.9714,0.5342,1.2782,23.8968,-8.6364,-8.6364,0.0,-13.8294,-12.0592,0.1071,0.8707,6.1506,14.6326,-6.4593,-6.933,-1.5414,-3.0088,7.4489,-0.2407,-1.389
2017-09-30,1.0927,0.624,1.7332,15.0482,-17.941,-17.941,0.0,-22.4965,-20.7519,0.1062,1.026,4.9112,18.3256,-11.6224,-12.5281,-2.3879,-4.3698,6.874,-0.3553,-1.6672
