Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-03-31,4889.0,3741.0,1148.0,275.0,618.0,-11.0,4645.0,244.0,4.0,248.0,69.0,179.0,0.0,177.0,0.0,177.0,331.0,244.0,429.0,437.0,0.41,0.41
2009-06-30,4651.0,3518.0,1133.0,299.0,615.0,-60.0,4492.0,159.0,20.0,179.0,39.0,140.0,0.0,142.0,0.0,142.0,243.0,159.0,431.0,440.0,0.33,0.32
2009-09-30,5449.0,4176.0,1273.0,315.0,698.0,-9.0,5198.0,251.0,11.0,262.0,60.0,202.0,0.0,199.0,0.0,199.0,346.0,251.0,432.0,441.0,0.46,0.45
2009-12-31,9520.0,7543.0,1977.0,351.0,1129.0,-22.0,9045.0,475.0,-3.0,472.0,85.0,387.0,0.0,384.0,0.0,384.0,587.0,475.0,433.0,442.0,0.88,0.86
2010-03-31,7131.0,5501.0,1630.0,366.0,844.0,-26.0,6737.0,394.0,7.0,401.0,100.0,301.0,0.0,299.0,0.0,299.0,513.0,394.0,445.0,454.0,0.67,0.66
2010-06-30,6566.0,4957.0,1609.0,408.0,906.0,-25.0,6296.0,270.0,27.0,297.0,88.0,209.0,0.0,207.0,0.0,207.0,400.0,270.0,447.0,455.0,0.46,0.45
2010-09-30,7560.0,5786.0,1774.0,442.0,1038.0,-26.0,7292.0,268.0,24.0,292.0,79.0,213.0,0.0,231.0,0.0,231.0,418.0,268.0,448.0,456.0,0.51,0.51
2010-12-31,12947.0,10317.0,2630.0,518.0,1609.0,-29.0,12473.0,474.0,33.0,507.0,85.0,422.0,0.0,415.0,0.0,415.0,643.0,474.0,447.0,456.0,0.94,0.91
2011-03-31,9857.0,7608.0,2249.0,579.0,1315.0,-33.0,9535.0,322.0,-15.0,307.0,89.0,218.0,0.0,201.0,0.0,201.0,524.0,322.0,451.0,459.0,0.44,0.44
2011-06-30,9913.0,7525.0,2388.0,698.0,1448.0,-41.0,9712.0,201.0,24.0,225.0,49.0,176.0,0.0,191.0,0.0,191.0,445.0,201.0,453.0,460.0,0.42,0.41
2011-09-30,10876.0,8325.0,2551.0,769.0,1666.0,-37.0,10797.0,79.0,51.0,130.0,67.0,63.0,0.0,63.0,0.0,63.0,357.0,79.0,454.0,461.0,0.14,0.14
2011-12-31,17431.0,13830.0,3601.0,863.0,2435.0,-43.0,17171.0,260.0,12.0,272.0,86.0,186.0,0.0,176.0,0.0,176.0,619.0,260.0,453.0,461.0,0.39,0.38
2012-03-31,13185.0,10027.0,3158.0,945.0,1975.0,-46.0,12993.0,192.0,-108.0,84.0,43.0,41.0,0.0,130.0,0.0,130.0,649.0,192.0,453.0,460.0,0.29,0.28
2012-06-30,12834.0,9488.0,3346.0,1082.0,2125.0,-32.0,12727.0,107.0,39.0,146.0,109.0,37.0,0.0,7.0,0.0,7.0,592.0,107.0,451.0,458.0,0.02,0.01
2012-09-30,13806.0,10319.0,3487.0,1192.0,2280.0,-43.0,13834.0,-28.0,6.0,-22.0,83.0,-105.0,0.0,-274.0,0.0,-274.0,527.0,-28.0,452.0,452.0,-0.6,-0.6
2012-12-31,21268.0,16137.0,5131.0,1345.0,3343.0,-38.0,20863.0,405.0,-69.0,336.0,193.0,143.0,0.0,98.0,0.0,98.0,1067.0,405.0,453.0,453.0,0.2,0.22
2013-03-31,16070.0,11801.0,4269.0,1383.0,2674.0,-31.0,15889.0,181.0,-100.0,81.0,-18.0,99.0,0.0,82.0,0.0,82.0,881.0,181.0,455.0,463.0,0.18,0.18
2013-06-30,15704.0,11209.0,4495.0,1586.0,2798.0,-32.0,15625.0,79.0,-62.0,17.0,13.0,4.0,0.0,-7.0,0.0,-7.0,836.0,79.0,456.0,456.0,-0.02,-0.02
2013-09-30,17092.0,12366.0,4726.0,1734.0,3006.0,-11.0,17117.0,-25.0,-18.0,-43.0,-12.0,-31.0,0.0,-41.0,0.0,-41.0,809.0,-25.0,457.0,457.0,-0.09,-0.09
2013-12-31,25586.0,18805.0,6781.0,1862.0,4369.0,-40.0,25076.0,510.0,-59.0,451.0,178.0,273.0,0.0,240.0,0.0,240.0,1472.0,510.0,457.0,465.0,0.53,0.52
2014-03-31,19741.0,14055.0,5686.0,1991.0,3514.0,-35.0,19595.0,146.0,-26.0,120.0,73.0,47.0,0.0,108.0,0.0,108.0,1156.0,146.0,460.0,468.0,0.23,0.23
2014-06-30,19340.0,13399.0,5941.0,2226.0,3702.0,-28.0,19355.0,-15.0,-12.0,-27.0,94.0,-121.0,0.0,-126.0,0.0,-126.0,1094.0,-15.0,461.0,461.0,-0.27,-0.27
2014-09-30,20579.0,14627.0,5952.0,2423.0,4042.0,-31.0,21123.0,-544.0,-90.0,-634.0,-205.0,-429.0,0.0,-437.0,0.0,-437.0,703.0,-544.0,463.0,463.0,-0.95,-0.95
2014-12-31,29328.0,20671.0,8657.0,2635.0,5392.0,-39.0,28737.0,591.0,-161.0,430.0,205.0,225.0,0.0,214.0,0.0,214.0,1971.0,591.0,462.0,462.0,0.47,0.47
