Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-03-31,8087.0,6800.0,1287.0,0.0,0.0,0.0,7105.0,982.0,19.0,1001.0,348.0,653.0,0.0,653.0,0.0,613.0,1388.0,982.0,1855.0,1868.0,0.33,0.33
2009-06-30,8596.0,6998.0,1598.0,0.0,0.0,0.0,7019.0,1577.0,80.0,1657.0,626.0,1031.0,0.0,1031.0,0.0,954.0,1981.0,1577.0,1857.0,1874.0,0.51,0.51
2009-09-30,9867.0,8272.0,1595.0,0.0,0.0,0.0,8438.0,1429.0,232.0,1661.0,587.0,1074.0,0.0,1074.0,0.0,895.0,1854.0,1429.0,1856.0,1875.0,0.48,0.47
2009-12-31,9739.0,8325.0,1414.0,0.0,0.0,0.0,8430.0,1309.0,13.0,1322.0,478.0,844.0,0.0,844.0,0.0,844.0,1732.0,1309.0,1867.0,1903.0,0.45,0.44
2010-03-31,8580.0,7068.0,1512.0,0.0,0.0,0.0,7139.0,1441.0,94.0,1535.0,537.0,998.0,0.0,998.0,0.0,953.0,1865.0,1441.0,1940.0,1973.0,0.49,0.48
2010-06-30,10002.0,7723.0,2279.0,0.0,0.0,0.0,7759.0,2243.0,93.0,2336.0,831.0,1505.0,0.0,1505.0,0.0,1331.0,2675.0,2243.0,1945.0,1978.0,0.68,0.67
2010-09-30,9742.0,8221.0,1521.0,0.0,0.0,0.0,8279.0,1463.0,-29.0,1434.0,468.0,966.0,0.0,966.0,0.0,835.0,1897.0,1463.0,1915.0,1948.0,0.45,0.44
2010-12-31,10716.0,8776.0,1940.0,0.0,0.0,0.0,8788.0,1928.0,136.0,2064.0,730.0,1334.0,0.0,1334.0,0.0,1302.0,2375.0,1928.0,1891.0,1927.0,0.69,0.68
2011-03-31,9077.0,7549.0,1528.0,0.0,0.0,0.0,7549.0,1528.0,40.0,1568.0,558.0,1010.0,0.0,1010.0,0.0,942.0,1984.0,1528.0,1899.0,1934.0,0.5,0.49
2011-06-30,10675.0,8229.0,2446.0,0.0,0.0,0.0,8263.0,2412.0,96.0,2508.0,845.0,1663.0,0.0,1663.0,0.0,1476.0,2888.0,2412.0,1883.0,1912.0,0.78,0.77
2011-09-30,10425.0,8558.0,1867.0,0.0,0.0,0.0,8567.0,1858.0,45.0,1903.0,652.0,1251.0,0.0,1251.0,0.0,1087.0,2320.0,1858.0,1878.0,1909.0,0.59,0.58
2011-12-31,10779.0,8587.0,2192.0,0.0,0.0,0.0,8593.0,2186.0,55.0,2241.0,720.0,1521.0,0.0,1521.0,0.0,1464.0,2671.0,2186.0,1798.0,1824.0,0.81,0.8
2012-03-31,9629.0,7942.0,1687.0,0.0,0.0,0.0,7980.0,1649.0,227.0,1876.0,650.0,1226.0,0.0,1226.0,0.0,1143.0,2137.0,1649.0,1793.0,1818.0,0.64,0.63
2012-06-30,11088.0,8128.0,2960.0,0.0,0.0,0.0,8135.0,2953.0,76.0,3029.0,993.0,2036.0,0.0,2036.0,0.0,1831.0,3475.0,2953.0,1791.0,1812.0,1.02,1.01
2012-09-30,10782.0,8758.0,2024.0,0.0,0.0,0.0,8807.0,1975.0,139.0,2114.0,724.0,1390.0,0.0,1390.0,0.0,1244.0,2467.0,1975.0,1793.0,1817.0,0.69,0.68
2012-12-31,11341.0,9249.0,2092.0,0.0,0.0,0.0,9249.0,2092.0,-64.0,2028.0,590.0,1438.0,0.0,1438.0,0.0,1382.0,2606.0,2092.0,1777.0,1800.0,0.78,0.77
2013-03-31,10554.0,8359.0,2195.0,0.0,0.0,0.0,8420.0,2134.0,141.0,2275.0,654.0,1621.0,0.0,1621.0,0.0,1513.0,2684.0,2134.0,1804.0,1825.0,0.84,0.83
2013-06-30,11578.0,8574.0,3004.0,0.0,0.0,0.0,8634.0,2944.0,149.0,3093.0,1059.0,2034.0,0.0,2034.0,0.0,1847.0,3513.0,2944.0,1802.0,1821.0,1.02,1.01
2013-09-30,11568.0,9409.0,2159.0,0.0,0.0,0.0,9502.0,2066.0,158.0,2224.0,681.0,1543.0,0.0,1543.0,0.0,1394.0,2625.0,2066.0,1786.0,1805.0,0.78,0.77
2013-12-31,12309.0,7065.0,5244.0,0.0,2018.0,0.0,9663.0,2646.0,294.0,2940.0,1036.0,1904.0,0.0,1904.0,0.0,1840.0,3207.0,2646.0,1762.0,1784.0,1.04,1.03
2014-03-31,11649.0,5972.0,5677.0,0.0,2116.0,0.0,8716.0,2933.0,242.0,3175.0,1119.0,2056.0,0.0,2056.0,0.0,1917.0,3513.0,2933.0,1750.0,1770.0,1.1,1.08
2014-06-30,12466.0,6364.0,6102.0,0.0,2047.0,0.0,8968.0,3498.0,172.0,3670.0,1251.0,2419.0,0.0,2419.0,0.0,2245.0,4055.0,3498.0,1732.0,1748.0,1.3,1.28
