Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-03-31,13648.0,2814.0,10834.0,2212.0,4184.0,0.0,9210.0,4438.0,-388.0,4050.0,1073.0,2977.0,0.0,2977.0,0.0,2977.0,5102.0,4438.0,8891.0,8904.0,0.33,0.33
2009-06-30,13099.0,2586.0,10513.0,2225.0,4301.0,0.0,9112.0,3987.0,155.0,4142.0,1097.0,3045.0,0.0,3045.0,0.0,3045.0,4668.0,3987.0,8945.0,8996.0,0.35,0.34
2009-09-30,12920.0,2842.0,10078.0,2065.0,3531.0,0.0,8438.0,4482.0,283.0,4765.0,1191.0,3574.0,0.0,3574.0,0.0,3574.0,5128.0,4482.0,8914.0,8983.0,0.4,0.4
2009-12-31,19022.0,3628.0,15394.0,2079.0,4802.0,0.0,10509.0,8513.0,370.0,8883.0,2221.0,6662.0,0.0,6662.0,0.0,6662.0,9128.0,8513.0,8856.0,8951.0,0.75,0.74
2010-03-31,14503.0,2755.0,11748.0,2220.0,4355.0,0.0,9330.0,5173.0,168.0,5341.0,1335.0,4006.0,0.0,4006.0,0.0,4006.0,5867.0,5173.0,8767.0,8876.0,0.46,0.45
2010-06-30,16039.0,3170.0,12869.0,2350.0,4589.0,0.0,10109.0,5930.0,94.0,6024.0,1506.0,4518.0,0.0,4518.0,0.0,4518.0,6648.0,5930.0,8813.0,8927.0,0.52,0.51
2010-09-30,16195.0,3139.0,13056.0,2196.0,3744.0,0.0,9079.0,7116.0,114.0,7230.0,1820.0,5410.0,0.0,5410.0,0.0,5410.0,7810.0,7116.0,8614.0,8695.0,0.63,0.62
2010-12-31,19953.0,4833.0,15120.0,2185.0,4770.0,0.0,11788.0,8165.0,332.0,8497.0,1863.0,6634.0,0.0,6634.0,0.0,6634.0,8828.0,8165.0,8497.0,8570.0,0.78,0.77
2011-03-31,16428.0,3897.0,12531.0,2269.0,4553.0,0.0,10719.0,5709.0,316.0,6025.0,793.0,5232.0,0.0,5232.0,0.0,5232.0,6429.0,5709.0,8420.0,8510.0,0.62,0.61
2011-06-30,17367.0,3708.0,13659.0,2393.0,5095.0,0.0,11196.0,6171.0,148.0,6319.0,445.0,5874.0,0.0,5874.0,0.0,5874.0,6860.0,6171.0,8490.0,8593.0,0.7,0.69
