Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-03-31,394.098,259.268,134.83,24.2,75.256,1.097,357.627,36.471,0.94,37.411,15.048,22.363,0.0,22.363,0.0,22.363,95.144,36.471,411.138,424.963,0.0543,0.0529
2009-06-30,408.509,269.243,139.266,27.119,59.483,0.118,355.727,52.782,0.192,52.974,20.531,32.443,0.0,32.443,0.0,32.443,115.149,52.782,405.104,417.62,0.08,0.0771
2009-09-30,423.12,275.274,147.846,30.014,70.099,1.604,373.783,49.337,1.134,50.471,20.33,30.141,0.0,30.141,0.0,30.141,115.771,49.337,393.022,405.566,0.0771,0.0743
2009-12-31,444.542,275.486,169.056,33.209,79.679,-2.819,391.193,53.349,-2.013,51.336,20.423,30.913,0.0,30.913,0.0,30.913,123.409,53.3491,395.92,408.912,0.0814,0.0786
2010-03-31,493.665,307.162,186.503,37.399,90.759,0.0,435.32,58.345,-3.987,54.358,22.086,32.272,0.0,32.272,0.0,32.272,131.496,58.345,370.377,383.425,0.0871,0.0843
2010-06-30,519.819,314.934,204.885,37.863,89.68,0.0,442.477,77.342,-3.972,73.37,29.851,43.519,0.0,43.519,0.0,43.519,151.794,77.342,367.402,380.268,0.1186,0.1143
2010-09-30,553.219,344.469,208.75,42.108,97.141,0.0,483.718,69.501,-4.092,65.409,27.442,37.967,0.0,37.967,0.0,37.967,155.325,69.501,364.994,377.517,0.1043,0.1
2010-12-31,595.922,390.79,205.132,45.959,80.72,0.0,517.4689,78.4531,-3.894,74.559,27.464,47.095,0.0,47.095,0.0,47.095,183.7211,78.4531,367.703,380.128,0.1271,0.1243
2011-03-31,718.553,438.151,280.402,50.905,127.257,0.0,616.313,102.24,-4.0,98.24,38.007,60.233,0.0,60.233,0.0,60.233,224.993,102.24,369.313,379.722,0.1629,0.1586
2011-06-30,788.61,489.978,298.632,57.865,125.653,0.0,673.496,115.114,-4.29,110.824,42.61,68.214,0.0,68.214,0.0,68.214,293.762,115.114,367.29,377.363,0.1857,0.18
2011-09-30,821.839,536.617,285.222,69.48,118.9,0.0,724.997,96.842,-3.219,93.623,31.163,62.46,0.0,62.46,0.0,62.46,319.201,96.842,367.983,377.09,0.17,0.1657
