Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-03-31,2333.3,1043.5,1289.8,0.0,104.3,-858.4,2292.4,40.9002,-5.9,35.0,9.9,25.1,0.0,25.1,0.0,25.0,182.1002,40.9002,1476.0,1479.8,0.015,0.015
2009-06-30,2403.9,1043.4,1360.5,0.0,110.3,-860.9,2199.9,204.0,10.0,214.0,65.8,148.2,0.0,148.2,0.0,151.5,345.0,204.0,1478.8,1493.4,0.1,0.1
2009-09-30,2422.199,1041.2,1381.0,0.0,133.2,-862.6002,2222.8,199.3997,12.8,212.2,58.7,153.5,0.0,153.5,0.0,150.0,339.4996,199.3999,1477.4,1491.8,0.105,0.1
2009-12-31,2722.7,1145.7,1577.0,0.0,136.9,-938.6,2370.1,352.5999,16.9,369.5,126.0,243.5,0.0,243.5,0.0,241.5,490.7999,352.5999,1488.4,1525.8,0.16,0.16
2010-03-31,2534.7,1064.1,1470.6,0.0,139.0,-855.4,2194.9,339.8,-3.3,336.5,118.7,217.8,0.0,217.8,0.0,217.3,474.1,339.8,1494.2,1533.8,0.145,0.14
2010-06-30,2612.0,1076.2,1535.8,0.0,132.7,-929.8,2284.3,327.7002,-9.3,318.4,109.9,208.5,0.0,208.5,0.0,207.9,459.7002,327.7002,1492.2,1533.4,0.14,0.135
2010-09-30,2838.0,1130.5,1707.5,0.0,296.0,-879.7,2438.7,399.3,13.3,412.6,134.1,278.5,0.0,278.5,0.0,278.9,535.6,399.3003,1488.8,1528.4,0.19,0.185
2010-12-31,2950.8,1192.3,1758.5,0.0,185.2,-943.6,2448.9,501.9001,6.5,508.4,160.8,347.6,0.0,347.6,0.0,346.6,637.2001,501.9001,1491.4,1533.4,0.23,0.225
2011-03-31,2785.7,1171.2,1614.5,0.0,181.6,-927.8,2409.6,376.1001,12.8,388.9,126.5,262.4,0.0,262.4,0.0,261.6,512.4001,376.1001,1500.6,1543.6,0.175,0.17
2011-06-30,2932.2,1237.5,1694.7,0.0,190.2,-972.8,2530.0,402.2,7.5,409.7,129.9,279.8,0.0,279.8,0.0,279.1,538.7999,402.2,1501.0,1543.8,0.185,0.18
2011-09-30,3031.7,1314.5,1717.2,0.0,192.3,-939.6,2583.4,448.3,55.8,504.0999,145.9,358.2,0.0,358.2,0.0,358.4,590.1,448.3008,1496.6,1539.4,0.24,0.235
2011-12-31,3435.9,1496.1,1939.8,0.0,191.5,-1057.5,2879.9,556.0,14.6,570.6,188.4,382.2,0.0,382.2,0.0,382.1,699.6,556.0,1495.8,1537.0,0.255,0.25
2012-03-31,3195.9,1411.9,1784.0,0.0,206.9,-1009.6,2765.5,430.3999,26.5,456.9,146.8,310.1,0.0,310.1,0.0,309.9,574.6999,430.3999,1509.2,1546.6,0.205,0.2
2012-06-30,3303.6,1446.1,1857.5,0.0,199.0,-1030.2,2812.0,491.6001,0.8,492.4,159.1,333.3,0.0,333.3,0.0,333.1,631.4001,491.6001,1517.8,1553.6,0.22,0.215
2012-09-30,3341.399,1459.2,1882.2,0.0,203.8,-1017.299,2822.0,519.3999,19.8,539.2001,180.1001,359.1002,0.0,359.1002,0.0,358.7,672.2999,519.4004,1508.8,1546.0,0.235,0.23
2012-12-31,3793.2,1620.7,2172.5,0.0,231.9,-1161.1,3162.6,630.5999,-9.5,621.1,188.7,432.4,0.0,432.4,0.0,432.2,787.3998,630.5999,1492.2,1522.6,0.29,0.285
2013-03-31,3549.6,1530.4,2019.2,0.0,230.3,-1091.7,3005.5,544.1001,44.7,588.8,198.1,390.7,0.0,390.7,0.0,390.4,705.4001,544.1001,1498.2,1522.6,0.26,0.255
