Date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2009-06-30,26.945,24.844,2.101,1.941,8.247,0.0,35.032,-8.087,-2.772,-10.859,0.008,-10.867,0.0,-10.867,0.0,-10.867,-8.087,-8.087,34.83,34.83,-0.312,-0.312
2009-09-30,45.527,37.828,7.699,1.257,10.733,0.0,49.818,-4.291,-0.543,-4.834,-0.219,-4.615,0.0,-4.615,0.0,-4.615,-2.343,-4.291,35.07,35.07,-0.132,-0.132
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.812,16.96,3.852,13.265,16.585,0.0,46.81,-25.998,-3.403,-29.401,0.118,-29.519,0.0,-29.519,0.0,-29.519,-23.857,-25.998,36.51,36.51,-0.808,-0.808
2010-06-30,28.405,22.144,6.261,15.416,22.207,0.0,59.767,-31.362,-7.146,-38.508,0.009,-38.517,0.0,-38.517,0.0,-38.517,-28.879,-31.362,38.215,38.215,-1.008,-1.008
2010-09-30,31.241,21.945,9.296,26.698,20.432,0.0,69.075,-37.834,2.982,-34.852,0.083,-34.935,0.0,-34.935,0.0,-34.935,-34.725,-37.834,461.355,461.355,-0.076,-0.076
2010-12-31,36.286,24.964,11.322,37.617,25.349,0.0,87.93,-51.644,0.25,-51.394,-0.037,-51.357,0.0,-51.357,0.0,-51.357,-48.754,-51.644,253.59,253.59,1.284,1.284
2011-03-31,49.03,31.002,18.028,41.162,24.212,0.0,96.376,-47.346,-1.445,-48.791,0.15,-48.941,0.0,-48.941,0.0,-48.941,-43.829,-47.346,475.935,475.935,-0.102,-0.102
2011-06-30,58.171,39.663,18.508,52.531,24.716,0.0,116.91,-58.739,-0.025,-58.764,0.139,-58.903,0.0,-58.903,0.0,-58.903,-54.421,-58.739,488.785,488.785,-0.12,-0.12
2011-09-30,57.666,40.442,17.224,54.083,27.618,0.0,122.143,-64.477,-0.514,-64.991,0.087,-65.078,0.0,-65.078,0.0,-65.078,-60.197,-64.477,520.385,520.385,-0.126,-0.126
2011-12-31,39.375,31.54,7.835,61.205,27.556,0.0,120.301,-80.926,-0.45,-81.376,0.113,-81.489,0.0,-81.489,0.0,-81.489,-76.122,-80.926,501.945,501.945,-0.158,-0.158
